omega,tau,firm,demand
0.8,0.808081,2,0.376385
0.8,0.818182,1,0.375603
0.8,0.818182,2,0.377775
0.8,0.828283,1,0.377743
0.8,0.828283,2,0.375241
0.8,0.838384,1,0.377368
0.8,0.838384,2,0.377558
0.8,0.848485,1,0.375634
0.8,0.848485,2,0.378077
0.8,0.858586,1,0.379679
0.8,0.858586,2,0.377636
0.8,0.868687,1,0.380215
0.8,0.868687,2,0.380478
0.8,0.878788,1,0.379465
0.8,0.878788,2,0.377214
0.8,0.888889,1,0.380501
0.8,0.888889,2,0.379
0.8,0.89899,1,0.372369
0.8,0.89899,2,0.386056
0.8,0.909091,1,0.381131
0.8,0.909091,2,0.382871
0.8,0.919192,1,0.379895
0.8,0.919192,2,0.381518
0.8,0.929293,1,0.378383
0.8,0.929293,2,0.382589
0.8,0.939394,1,0.377445
0.8,0.939394,2,0.384196
0.8,0.949495,1,0.380573
0.8,0.949495,2,0.380621
0.8,0.959596,1,0.378243
0.8,0.959596,2,0.383128
0.8,0.969697,1,0.385413
0.8,0.969697,2,0.379446
0.8,0.979798,1,0.38319
0.8,0.979798,2,0.383903
0.8,0.989899,1,0.379844
0.8,0.989899,2,0.385986
0.8,1,1,0.38516
0.8,1,2,0.38338
1,0,1,0.35216
1,0,2,0.351978
1,0.010101,1,0.352473
1,0.010101,2,0.349835
1,0.020202,1,0.349387
1,0.020202,2,0.351648
1,0.030303,1,0.348249
1,0.030303,2,0.350843
1,0.040404,1,0.345334
1,0.040404,2,0.350805
1,0.0505051,1,0.345603
1,0.0505051,2,0.349233
1,0.0606061,1,0.345843
1,0.0606061,2,0.345796
1,0.0707071,1,0.344984
1,0.0707071,2,0.346358
1,0.0808081,1,0.343065
1,0.0808081,2,0.346445
1,0.0909091,1,0.343396
1,0.0909091,2,0.344848
1,0.10101,1,0.339798
1,0.10101,2,0.34383
1,0.111111,1,0.347484
1,0.111111,2,0.33929
1,0.121212,1,0.341981
1,0.121212,2,0.344049
1,0.131313,1,0.347025
1,0.131313,2,0.335195
1,0.141414,1,0.345459
1,0.141414,2,0.339683
1,0.151515,1,0.338909
