omega,tau,action,Count
0,0.69697,4,0.122852
0,0.707071,1,0.15359
0,0.707071,2,0.666794
0,0.707071,3,0.0272142
0,0.707071,4,0.152402
0,0.717172,1,0.138408
0,0.717172,2,0.698516
0,0.717172,3,0.0246752
0,0.717172,4,0.138401
0,0.727273,1,0.142815
0,0.727273,2,0.688603
0,0.727273,3,0.0146501
0,0.727273,4,0.153931
0,0.737374,1,0.150158
0,0.737374,2,0.686796
0,0.737374,3,0.023423
0,0.737374,4,0.139623
0,0.747475,1,0.142444
0,0.747475,2,0.691643
0,0.747475,3,0.0261349
0,0.747475,4,0.139777
0,0.757576,1,0.126718
0,0.757576,2,0.734824
0,0.757576,3,0.0112152
0,0.757576,4,0.127242
0,0.767677,1,0.116827
0,0.767677,2,0.755496
0,0.767677,3,0.0108564
0,0.767677,4,0.116821
0,0.777778,1,0.123682
0,0.777778,2,0.733099
0,0.777778,3,0.0178693
0,0.777778,4,0.12535
0,0.787879,1,0.151821
0,0.787879,2,0.690621
0,0.787879,3,0.0095674
0,0.787879,4,0.14799
0,0.79798,1,0.135577
0,0.79798,2,0.713378
0,0.79798,3,0.0113839
0,0.79798,4,0.139661
0,0.808081,1,0.153713
0,0.808081,2,0.680402
0,0.808081,3,0.015932
0,0.808081,4,0.149953
0,0.818182,1,0.138503
0,0.818182,2,0.686968
0,0.818182,3,0.0360275
0,0.818182,4,0.138501
0,0.828283,1,0.122454
0,0.828283,2,0.742393
0,0.828283,3,0.0168673
0,0.828283,4,0.118286
0,0.838384,1,0.128346
0,0.838384,2,0.741895
0,0.838384,3,0.0025045
0,0.838384,4,0.127255
0,0.848485,1,0.114361
0,0.848485,2,0.756831
0,0.848485,3,0.014446
0,0.848485,4,0.114361
0,0.858586,1,0.121722
0,0.858586,2,0.74173
0,0.858586,3,0.0153864
0,0.858586,4,0.121162
0,0.868687,1,0.116717
0,0.868687,2,0.761155
0,0.868687,3,0.0042629
0,0.868687,4,0.117864
0,0.878788,1,0.13631
0,0.878788,2,0.718849
0,0.878788,3,0.0086714
0,0.878788,4,0.136169
0,0.888889,1,0.133924
0,0.888889,2,0.731217
0,0.888889,3,0.0073383
0,0.888889,4,0.127521
0,0.89899,1,0.154337
0,0.89899,2,0.681789
0,0.89899,3,0.0123705
0,0.89899,4,0.151503
0,0.909091,1,0.131082
0,0.909091,2,0.737388
0,0.909091,3,0.0011187
0,0.909091,4,0.130412
0,0.919192,1,0.116089
0,0.919192,2,0.762212
0,0.919192,3,0.0050955
0,0.919192,4,0.116603
0,0.929293,1,0.148166
0,0.929293,2,0.698611
0,0.929293,3,0.0056011
0,0.929293,4,0.147622
0,0.939394,1,0.148097
0,0.939394,2,0.697381
0,0.939394,3,0.0066008
0,0.939394,4,0.14792
0,0.949495,1,0.125747
0,0.949495,2,0.742509
0,0.949495,3,0.0041076
0,0.949495,4,0.127637
0,0.959596,1,0.137497
0,0.959596,2,0.711756
0,0.959596,3,0.0062094
0,0.959596,4,0.144537
0,0.969697,1,0.162521
0,0.969697,2,0.673794
0,0.969697,3,0.0062146
0,0.969697,4,0.15747
0,0.979798,1,0.151736
0,0.979798,2,0.681196
0,0.979798,3,0.01422
0,0.979798,4,0.152848
0,0.989899,1,0.139825
0,0.989899,2,0.708917
0,0.989899,3,0.0051836
0,0.989899,4,0.146074
