omega,tau,firm,profit
0.8,0.606061,1,0.125801
0.8,0.606061,2,0.125262
0.8,0.616162,1,0.12545
0.8,0.616162,2,0.126347
0.8,0.626263,1,0.125302
0.8,0.626263,2,0.125715
0.8,0.636364,1,0.126242
0.8,0.636364,2,0.12577
0.8,0.646465,1,0.125673
0.8,0.646465,2,0.126541
0.8,0.656566,1,0.12652
0.8,0.656566,2,0.126887
0.8,0.666667,1,0.1261
0.8,0.666667,2,0.12603
0.8,0.676768,1,0.126936
0.8,0.676768,2,0.126518
0.8,0.686869,1,0.127439
0.8,0.686869,2,0.127296
0.8,0.69697,1,0.126845
0.8,0.69697,2,0.126618
0.8,0.707071,1,0.127419
0.8,0.707071,2,0.127357
0.8,0.717172,1,0.127199
0.8,0.717172,2,0.126864
0.8,0.727273,1,0.127454
0.8,0.727273,2,0.128393
0.8,0.737374,1,0.127862
0.8,0.737374,2,0.128297
0.8,0.747475,1,0.128634
0.8,0.747475,2,0.128181
0.8,0.757576,1,0.127827
0.8,0.757576,2,0.127968
0.8,0.767677,1,0.127078
0.8,0.767677,2,0.127926
0.8,0.777778,1,0.127928
0.8,0.777778,2,0.127795
0.8,0.787879,1,0.128523
0.8,0.787879,2,0.128434
0.8,0.79798,1,0.128695
0.8,0.79798,2,0.12884
0.8,0.808081,1,0.129276
0.8,0.808081,2,0.129095
0.8,0.818182,1,0.129177
0.8,0.818182,2,0.129107
0.8,0.828283,1,0.129378
0.8,0.828283,2,0.129292
0.8,0.838384,1,0.129122
0.8,0.838384,2,0.12927
0.8,0.848485,1,0.129888
0.8,0.848485,2,0.129934
0.8,0.858586,1,0.128995
0.8,0.858586,2,0.129301
0.8,0.868687,1,0.130326
0.8,0.868687,2,0.130719
0.8,0.878788,1,0.130505
0.8,0.878788,2,0.131516
0.8,0.888889,1,0.130281
0.8,0.888889,2,0.131028
0.8,0.89899,1,0.130271
0.8,0.89899,2,0.129119
0.8,0.909091,1,0.130569
0.8,0.909091,2,0.129999
0.8,0.919192,1,0.131217
0.8,0.919192,2,0.131354
0.8,0.929293,1,0.132896
0.8,0.929293,2,0.13114
0.8,0.939394,1,0.132574
0.8,0.939394,2,0.130952
0.8,0.949495,1,0.130997
0.8,0.949495,2,0.131581
0.8,0.959596,1,0.133258
0.8,0.959596,2,0.131704
0.8,0.969697,1,0.131626
0.8,0.969697,2,0.133564
0.8,0.979798,1,0.132115
0.8,0.979798,2,0.131317
0.8,0.989899,1,0.132214
0.8,0.989899,2,0.131486
0.8,1,1,0.132209
0.8,1,2,0.13238
1,0,1,0.11494
1,0,2,0.114933
1,0.010101,1,0.115542
1,0.010101,2,0.115291
1,0.020202,1,0.115565
1,0.020202,2,0.116036
1,0.030303,1,0.116163
1,0.030303,2,0.116416
1,0.040404,1,0.116644
1,0.040404,2,0.11743
1,0.0505051,1,0.117383
1,0.0505051,2,0.117494
1,0.0606061,1,0.118183
1,0.0606061,2,0.118101
1,0.0707071,1,0.118217
1,0.0707071,2,0.118616
1,0.0808081,1,0.11891
1,0.0808081,2,0.118996
1,0.0909091,1,0.119414
1,0.0909091,2,0.119251
1,0.10101,1,0.120521
1,0.10101,2,0.120225
1,0.111111,1,0.120433
1,0.111111,2,0.119585
1,0.121212,1,0.120061
1,0.121212,2,0.12054
1,0.131313,1,0.12186
1,0.131313,2,0.120105
1,0.141414,1,0.120954
1,0.141414,2,0.120811
1,0.151515,1,0.121181
1,0.151515,2,0.121562
1,0.161616,1,0.122343
1,0.161616,2,0.120524
1,0.171717,1,0.121886
1,0.171717,2,0.121497
1,0.181818,1,0.121525
1,0.181818,2,0.121433
1,0.191919,1,0.121514
1,0.191919,2,0.121697
1,0.20202,1,0.122057
1,0.20202,2,0.122798
1,0.212121,1,0.12151
1,0.212121,2,0.121678
1,0.222222,1,0.122232
1,0.222222,2,0.122502
1,0.232323,1,0.123
1,0.232323,2,0.122551
1,0.242424,1,0.122512
1,0.242424,2,0.122716
1,0.252525,1,0.122852
1,0.252525,2,0.123101
1,0.262626,1,0.122544
1,0.262626,2,0.123436
1,0.272727,1,0.123151
1,0.272727,2,0.123892
1,0.282828,1,0.123405
1,0.282828,2,0.123845
1,0.292929,1,0.123656
1,0.292929,2,0.123033
1,0.30303,1,0.123651
1,0.30303,2,0.123869
1,0.313131,1,0.124096
1,0.313131,2,0.123556
1,0.323232,1,0.12468
1,0.323232,2,0.125986
1,0.333333,1,0.123973
1,0.333333,2,0.125613
1,0.343434,1,0.125248
1,0.343434,2,0.126713
1,0.353535,1,0.125368
1,0.353535,2,0.124943
1,0.363636,1,0.124372
1,0.363636,2,0.124941
1,0.373737,1,0.125367
1,0.373737,2,0.126404
1,0.383838,1,0.126981
1,0.383838,2,0.126312
1,0.393939,1,0.125855
1,0.393939,2,0.125613
1,0.40404,1,0.127373
1,0.40404,2,0.127082
1,0.414141,1,0.127086
1,0.414141,2,0.126856
1,0.424242,1,0.127383
1,0.424242,2,0.126387
1,0.434343,1,0.126471
1,0.434343,2,0.127074
1,0.444444,1,0.128593
1,0.444444,2,0.127696
1,0.454545,1,0.127592
1,0.454545,2,0.128312
1,0.464646,1,0.128513
1,0.464646,2,0.128569
1,0.474747,1,0.128279
1,0.474747,2,0.128678
1,0.484848,1,0.128786
1,0.484848,2,0.129256
1,0.494949,1,0.13022
1,0.494949,2,0.130195
1,0.505051,1,0.130959
1,0.505051,2,0.130272
1,0.515152,1,0.130752
1,0.515152,2,0.130168
1,0.525253,1,0.129439
1,0.525253,2,0.129985
1,0.535354,1,0.130419
1,0.535354,2,0.130757
1,0.545455,1,0.130788
1,0.545455,2,0.130819
1,0.555556,1,0.130515
1,0.555556,2,0.130794
1,0.565657,1,0.131774
1,0.565657,2,0.13122
1,0.575758,1,0.131553
1,0.575758,2,0.131423
1,0.585859,1,0.131817
1,0.585859,2,0.1321
1,0.59596,1,0.132915
1,0.59596,2,0.132093
1,0.606061,1,0.131867
1,0.606061,2,0.131738
1,0.616162,1,0.131072
1,0.616162,2,0.131645
1,0.626263,1,0.131773
1,0.626263,2,0.13127
1,0.636364,1,0.132693
1,0.636364,2,0.133091
1,0.646465,1,0.134005
1,0.646465,2,0.133653
1,0.656566,1,0.133965
1,0.656566,2,0.132716
1,0.666667,1,0.132834
1,0.666667,2,0.132109
1,0.676768,1,0.134297
1,0.676768,2,0.134774
1,0.686869,1,0.133227
1,0.686869,2,0.133756
1,0.69697,1,0.133425
1,0.69697,2,0.134162
1,0.707071,1,0.134128
1,0.707071,2,0.135263
1,0.717172,1,0.134658
1,0.717172,2,0.135225
1,0.727273,1,0.133999
1,0.727273,2,0.133415
1,0.737374,1,0.135082
1,0.737374,2,0.134614
1,0.747475,1,0.133882
1,0.747475,2,0.134341
1,0.757576,1,0.136594
1,0.757576,2,0.137246
1,0.767677,1,0.138003
1,0.767677,2,0.13594
1,0.777778,1,0.136682
1,0.777778,2,0.137333
1,0.787879,1,0.136059
1,0.787879,2,0.137386
1,0.79798,1,0.136265
1,0.79798,2,0.137286
1,0.808081,1,0.137393
1,0.808081,2,0.137314
1,0.818182,1,0.137556
1,0.818182,2,0.137911
1,0.828283,1,0.137339
1,0.828283,2,0.138308
1,0.838384,1,0.1379
1,0.838384,2,0.138158
1,0.848485,1,0.139477
1,0.848485,2,0.138177
1,0.858586,1,0.139153
1,0.858586,2,0.138426
1,0.868687,1,0.13896
1,0.868687,2,0.1393
1,0.878788,1,0.139717
1,0.878788,2,0.139343
1,0.888889,1,0.139448
1,0.888889,2,0.139402
1,0.89899,1,0.141648
1,0.89899,2,0.141085
1,0.909091,1,0.141354
1,0.909091,2,0.139457
1,0.919192,1,0.140835
1,0.919192,2,0.141996
1,0.929293,1,0.140368
1,0.929293,2,0.140204
1,0.939394,1,0.142832
1,0.939394,2,0.141402
1,0.949495,1,0.141585
1,0.949495,2,0.140511
1,0.959596,1,0.143268
1,0.959596,2,0.144785
1,0.969697,1,0.142543
1,0.969697,2,0.14414
1,0.979798,1,0.144673
1,0.979798,2,0.143413
1,0.989899,1,0.143265
1,0.989899,2,0.144028
1,1,1,0.145371
1,1,2,0.145117
