omega,a,action,Count
0,1.64646,3,0.0002147
0,1.64646,4,0.0132246
0,1.65657,1,0.0088734
0,1.65657,2,0.980625
0,1.65657,3,0.0001388
0,1.65657,4,0.0103626
0,1.66667,1,0.0046527
0,1.66667,2,0.988033
0,1.66667,3,0.0002282
0,1.66667,4,0.007086
0,1.67677,1,0.0175591
0,1.67677,2,0.964449
0,1.67677,3,0.0001497
0,1.67677,4,0.0178425
0,1.68687,1,0.0090093
0,1.68687,2,0.980778
0,1.68687,3,0.0011903
0,1.68687,4,0.0090226
0,1.69697,1,0.0143306
0,1.69697,2,0.96952
0,1.69697,3,9.9e-05
0,1.69697,4,0.0160508
0,1.70707,1,0.0162363
0,1.70707,2,0.970834
0,1.70707,3,5.49e-05
0,1.70707,4,0.0128746
0,1.71717,1,0.0220193
0,1.71717,2,0.951666
0,1.71717,3,5.15e-05
0,1.71717,4,0.0262635
0,1.72727,1,0.0185117
0,1.72727,2,0.964021
0,1.72727,3,4.06e-05
0,1.72727,4,0.0174269
0,1.73737,1,0.0309353
0,1.73737,2,0.939508
0,1.73737,3,0.0020565
0,1.73737,4,0.0274998
0,1.74747,1,0.0324195
0,1.74747,2,0.934867
0,1.74747,3,0.0017174
0,1.74747,4,0.0309963
0,1.75758,1,0.024879
0,1.75758,2,0.946058
0,1.75758,3,0.0012676
0,1.75758,4,0.0277954
0,1.76768,1,0.0335407
0,1.76768,2,0.93287
0,1.76768,3,0.0009448
0,1.76768,4,0.0326446
0,1.77778,1,0.0420886
0,1.77778,2,0.915124
0,1.77778,3,0.0014484
0,1.77778,4,0.0413392
0,1.78788,1,0.0411915
0,1.78788,2,0.911167
0,1.78788,3,0.0050187
0,1.78788,4,0.0426232
0,1.79798,1,0.0571145
0,1.79798,2,0.886179
0,1.79798,3,0.0012605
0,1.79798,4,0.0554464
0,1.80808,1,0.0538073
0,1.80808,2,0.894027
0,1.80808,3,0.0033527
0,1.80808,4,0.0488132
0,1.81818,1,0.0568711
0,1.81818,2,0.886491
0,1.81818,3,0.0014365
0,1.81818,4,0.0552011
0,1.82828,1,0.0710579
0,1.82828,2,0.858286
0,1.82828,3,0.0031124
0,1.82828,4,0.0675433
0,1.83838,1,0.0731202
0,1.83838,2,0.842332
0,1.83838,3,0.0102866
0,1.83838,4,0.0742607
0,1.84848,1,0.0926286
0,1.84848,2,0.813023
0,1.84848,3,0.0017324
0,1.84848,4,0.0926162
0,1.85859,1,0.0983499
0,1.85859,2,0.789093
0,1.85859,3,0.0130974
0,1.85859,4,0.0994596
0,1.86869,1,0.113743
0,1.86869,2,0.770084
0,1.86869,3,0.0080158
0,1.86869,4,0.108157
0,1.87879,1,0.115287
0,1.87879,2,0.753293
0,1.87879,3,0.0177984
