omega,alpha,beta,t
1,0.0635135,5e-06,2.15944e+06
1,0.0635135,5.13514e-06,2.08591e+06
1,0.0635135,5.27027e-06,2.06241e+06
1,0.0635135,5.40541e-06,1.95171e+06
1,0.0635135,5.54054e-06,1.92407e+06
1,0.0635135,5.67568e-06,1.94139e+06
1,0.0635135,5.81081e-06,1.87717e+06
1,0.0635135,5.94595e-06,1.83969e+06
1,0.0635135,6.08108e-06,1.8849e+06
1,0.0635135,6.21622e-06,1.81687e+06
1,0.0635135,6.35135e-06,1.75624e+06
1,0.0635135,6.48649e-06,1.70926e+06
1,0.0635135,6.62162e-06,1.66909e+06
1,0.0635135,6.75676e-06,1.69622e+06
1,0.0635135,6.89189e-06,1.62431e+06
1,0.0635135,7.02703e-06,1.68618e+06
1,0.0635135,7.16216e-06,1.65251e+06
1,0.0635135,7.2973e-06,1.55715e+06
1,0.0635135,7.43243e-06,1.58883e+06
1,0.0635135,7.56757e-06,1.49911e+06
1,0.0635135,7.7027e-06,1.49748e+06
1,0.0635135,7.83784e-06,1.47571e+06
1,0.0635135,7.97297e-06,1.44867e+06
1,0.0635135,8.10811e-06,1.47764e+06
1,0.0635135,8.24324e-06,1.36148e+06
1,0.0635135,8.37838e-06,1.43124e+06
1,0.0635135,8.51351e-06,1.34999e+06
1,0.0635135,8.64865e-06,1.33486e+06
1,0.0635135,8.78378e-06,1.38348e+06
1,0.0635135,8.91892e-06,1.3282e+06
1,0.0635135,9.05405e-06,1.30349e+06
1,0.0635135,9.18919e-06,1.28073e+06
1,0.0635135,9.32432e-06,1.28399e+06
1,0.0635135,9.45946e-06,1.26369e+06
1,0.0635135,9.59459e-06,1.28053e+06
1,0.0635135,9.72973e-06,1.24864e+06
1,0.0635135,9.86486e-06,1.20866e+06
1,0.0635135,1e-05,1.20035e+06
1,0.0635135,1.01351e-05,1.21766e+06
1,0.0635135,1.02703e-05,1.17311e+06
1,0.0635135,1.04054e-05,1.20048e+06
1,0.0635135,1.05405e-05,1.1634e+06
1,0.0635135,1.06757e-05,1.13218e+06
1,0.0635135,1.08108e-05,1.12102e+06
1,0.0635135,1.09459e-05,1.10902e+06
1,0.0635135,1.10811e-05,1.15077e+06
1,0.0635135,1.12162e-05,1.10676e+06
1,0.0635135,1.13514e-05,1.1184e+06
1,0.0635135,1.14865e-05,1.0917e+06
1,0.0635135,1.16216e-05,1.05354e+06
1,0.0635135,1.17568e-05,1.11424e+06
1,0.0635135,1.18919e-05,1.06273e+06
1,0.0635135,1.2027e-05,1.06716e+06
1,0.0635135,1.21622e-05,1.03529e+06
1,0.0635135,1.22973e-05,1.01612e+06
1,0.0635135,1.24324e-05,1.05878e+06
1,0.0635135,1.25676e-05,1.02018e+06
1,0.0635135,1.27027e-05,969595
1,0.0635135,1.28378e-05,954427
1,0.0635135,1.2973e-05,987994
1,0.0635135,1.31081e-05,1.00638e+06
1,0.0635135,1.32432e-05,989100
1,0.0635135,1.33784e-05,1.00859e+06
1,0.0635135,1.35135e-05,987816
1,0.0635135,1.36486e-05,963982
1,0.0635135,1.37838e-05,930842
1,0.0635135,1.39189e-05,918138
1,0.0635135,1.40541e-05,991318
1,0.0635135,1.41892e-05,905834
1,0.0635135,1.43243e-05,947404
1,0.0635135,1.44595e-05,940655
1,0.0635135,1.45946e-05,893243
1,0.0635135,1.47297e-05,930348
1,0.0635135,1.48649e-05,884234
1,0.0635135,1.5e-05,891586
1,0.0662162,5e-06,2.12123e+06
1,0.0662162,5.13514e-06,2.01368e+06
1,0.0662162,5.27027e-06,2.05252e+06
1,0.0662162,5.40541e-06,2.03921e+06
1,0.0662162,5.54054e-06,1.97533e+06
1,0.0662162,5.67568e-06,1.92507e+06
1,0.0662162,5.81081e-06,1.93538e+06
1,0.0662162,5.94595e-06,1.81429e+06
1,0.0662162,6.08108e-06,1.84996e+06
1,0.0662162,6.21622e-06,1.8237e+06
1,0.0662162,6.35135e-06,1.74929e+06
1,0.0662162,6.48649e-06,1.73831e+06
1,0.0662162,6.62162e-06,1.69001e+06
1,0.0662162,6.75676e-06,1.70618e+06
1,0.0662162,6.89189e-06,1.65614e+06
1,0.0662162,7.02703e-06,1.59061e+06
1,0.0662162,7.16216e-06,1.59076e+06
1,0.0662162,7.2973e-06,1.58638e+06
1,0.0662162,7.43243e-06,1.53212e+06
1,0.0662162,7.56757e-06,1.54156e+06
1,0.0662162,7.7027e-06,1.50361e+06
1,0.0662162,7.83784e-06,1.45806e+06
1,0.0662162,7.97297e-06,1.46774e+06
1,0.0662162,8.10811e-06,1.47959e+06
1,0.0662162,8.24324e-06,1.41421e+06
1,0.0662162,8.37838e-06,1.3993e+06
1,0.0662162,8.51351e-06,1.40405e+06
1,0.0662162,8.64865e-06,1.37951e+06
1,0.0662162,8.78378e-06,1.36102e+06
1,0.0662162,8.91892e-06,1.4335e+06
1,0.0662162,9.05405e-06,1.31156e+06
1,0.0662162,9.18919e-06,1.3155e+06
1,0.0662162,9.32432e-06,1.2429e+06
1,0.0662162,9.45946e-06,1.33439e+06
1,0.0662162,9.59459e-06,1.28137e+06
1,0.0662162,9.72973e-06,1.27677e+06
1,0.0662162,9.86486e-06,1.22598e+06
1,0.0662162,1e-05,1.23704e+06
1,0.0662162,1.01351e-05,1.20851e+06
1,0.0662162,1.02703e-05,1.17024e+06
1,0.0662162,1.04054e-05,1.19789e+06
1,0.0662162,1.05405e-05,1.21195e+06
1,0.0662162,1.06757e-05,1.14784e+06
1,0.0662162,1.08108e-05,1.14567e+06
1,0.0662162,1.09459e-05,1.17273e+06
1,0.0662162,1.10811e-05,1.13666e+06
1,0.0662162,1.12162e-05,1.179e+06
1,0.0662162,1.13514e-05,1.10769e+06
1,0.0662162,1.14865e-05,1.12194e+06
1,0.0662162,1.16216e-05,1.08733e+06
1,0.0662162,1.17568e-05,1.09098e+06
1,0.0662162,1.18919e-05,1.06269e+06
1,0.0662162,1.2027e-05,1.04714e+06
1,0.0662162,1.21622e-05,1.04613e+06
1,0.0662162,1.22973e-05,1.04945e+06
1,0.0662162,1.24324e-05,1.03502e+06
1,0.0662162,1.25676e-05,1.09205e+06
1,0.0662162,1.27027e-05,1.0428e+06
1,0.0662162,1.28378e-05,956148
1,0.0662162,1.2973e-05,1.01876e+06
1,0.0662162,1.31081e-05,1.00077e+06
1,0.0662162,1.32432e-05,1.02196e+06
1,0.0662162,1.33784e-05,992703
1,0.0662162,1.35135e-05,1.0189e+06
1,0.0662162,1.36486e-05,913034
1,0.0662162,1.37838e-05,944782
1,0.0662162,1.39189e-05,966382
1,0.0662162,1.40541e-05,954935
1,0.0662162,1.41892e-05,907048
1,0.0662162,1.43243e-05,949731
1,0.0662162,1.44595e-05,923677
1,0.0662162,1.45946e-05,919962
1,0.0662162,1.47297e-05,897808
1,0.0662162,1.48649e-05,897140
1,0.0662162,1.5e-05,876741
1,0.0689189,5e-06,2.1345e+06
1,0.0689189,5.13514e-06,2.09593e+06
1,0.0689189,5.27027e-06,2.00323e+06
1,0.0689189,5.40541e-06,2.00258e+06
1,0.0689189,5.54054e-06,1.94107e+06
1,0.0689189,5.67568e-06,1.94598e+06
1,0.0689189,5.81081e-06,1.85176e+06
1,0.0689189,5.94595e-06,1.84566e+06
1,0.0689189,6.08108e-06,1.87032e+06
1,0.0689189,6.21622e-06,1.80816e+06
1,0.0689189,6.35135e-06,1.77421e+06
1,0.0689189,6.48649e-06,1.67954e+06
1,0.0689189,6.62162e-06,1.76267e+06
1,0.0689189,6.75676e-06,1.65512e+06
1,0.0689189,6.89189e-06,1.68734e+06
1,0.0689189,7.02703e-06,1.61143e+06
1,0.0689189,7.16216e-06,1.63453e+06
1,0.0689189,7.2973e-06,1.59111e+06
1,0.0689189,7.43243e-06,1.54005e+06
1,0.0689189,7.56757e-06,1.53286e+06
1,0.0689189,7.7027e-06,1.52595e+06
1,0.0689189,7.83784e-06,1.49227e+06
1,0.0689189,7.97297e-06,1.47973e+06
1,0.0689189,8.10811e-06,1.45462e+06
1,0.0689189,8.24324e-06,1.35595e+06
1,0.0689189,8.37838e-06,1.413e+06
1,0.0689189,8.51351e-06,1.36534e+06
1,0.0689189,8.64865e-06,1.3699e+06
1,0.0689189,8.78378e-06,1.33306e+06
1,0.0689189,8.91892e-06,1.29682e+06
1,0.0689189,9.05405e-06,1.29014e+06
1,0.0689189,9.18919e-06,1.30547e+06
1,0.0689189,9.32432e-06,1.29658e+06
1,0.0689189,9.45946e-06,1.27781e+06
1,0.0689189,9.59459e-06,1.25244e+06
1,0.0689189,9.72973e-06,1.28688e+06
1,0.0689189,9.86486e-06,1.32254e+06
1,0.0689189,1e-05,1.18779e+06
1,0.0689189,1.01351e-05,1.2323e+06
1,0.0689189,1.02703e-05,1.21501e+06
1,0.0689189,1.04054e-05,1.21236e+06
1,0.0689189,1.05405e-05,1.16103e+06
1,0.0689189,1.06757e-05,1.15048e+06
1,0.0689189,1.08108e-05,1.12858e+06
1,0.0689189,1.09459e-05,1.12099e+06
1,0.0689189,1.10811e-05,1.06948e+06
1,0.0689189,1.12162e-05,1.13442e+06
1,0.0689189,1.13514e-05,1.11672e+06
1,0.0689189,1.14865e-05,1.16802e+06
1,0.0689189,1.16216e-05,1.11901e+06
1,0.0689189,1.17568e-05,1.00801e+06
1,0.0689189,1.18919e-05,1.05194e+06
1,0.0689189,1.2027e-05,1.06522e+06
1,0.0689189,1.21622e-05,1.04124e+06
1,0.0689189,1.22973e-05,1.02661e+06
1,0.0689189,1.24324e-05,1.07113e+06
1,0.0689189,1.25676e-05,1.01022e+06
1,0.0689189,1.27027e-05,1.04842e+06
1,0.0689189,1.28378e-05,976440
1,0.0689189,1.2973e-05,1.01864e+06
1,0.0689189,1.31081e-05,945152
1,0.0689189,1.32432e-05,992084
1,0.0689189,1.33784e-05,981569
1,0.0689189,1.35135e-05,980993
1,0.0689189,1.36486e-05,1.01557e+06
1,0.0689189,1.37838e-05,933251
1,0.0689189,1.39189e-05,969345
1,0.0689189,1.40541e-05,909510
1,0.0689189,1.41892e-05,929900
1,0.0689189,1.43243e-05,935496
1,0.0689189,1.44595e-05,918164
1,0.0689189,1.45946e-05,959501
1,0.0689189,1.47297e-05,937324
1,0.0689189,1.48649e-05,972168
1,0.0689189,1.5e-05,915153
1,0.0716216,5e-06,2.17785e+06
1,0.0716216,5.13514e-06,2.13266e+06
1,0.0716216,5.27027e-06,2.05364e+06
1,0.0716216,5.40541e-06,1.96913e+06
1,0.0716216,5.54054e-06,1.93936e+06
1,0.0716216,5.67568e-06,1.91158e+06
1,0.0716216,5.81081e-06,1.90634e+06
1,0.0716216,5.94595e-06,1.87377e+06
1,0.0716216,6.08108e-06,1.7715e+06
1,0.0716216,6.21622e-06,1.82332e+06
1,0.0716216,6.35135e-06,1.81074e+06
1,0.0716216,6.48649e-06,1.7189e+06
1,0.0716216,6.62162e-06,1.74922e+06
1,0.0716216,6.75676e-06,1.71172e+06
1,0.0716216,6.89189e-06,1.65472e+06
1,0.0716216,7.02703e-06,1.63886e+06
1,0.0716216,7.16216e-06,1.62365e+06
1,0.0716216,7.2973e-06,1.57217e+06
