omega,alpha,beta,cs
1,0.0581081,1.44595e-05,0.312921
1,0.0581081,1.45946e-05,0.32101
1,0.0581081,1.47297e-05,0.317576
1,0.0581081,1.48649e-05,0.315976
1,0.0581081,1.5e-05,0.32003
1,0.0608108,5e-06,0.305259
1,0.0608108,5.13514e-06,0.308619
1,0.0608108,5.27027e-06,0.312458
1,0.0608108,5.40541e-06,0.310656
1,0.0608108,5.54054e-06,0.307602
1,0.0608108,5.67568e-06,0.311824
1,0.0608108,5.81081e-06,0.314322
1,0.0608108,5.94595e-06,0.314227
1,0.0608108,6.08108e-06,0.307192
1,0.0608108,6.21622e-06,0.313585
1,0.0608108,6.35135e-06,0.3148
1,0.0608108,6.48649e-06,0.314808
1,0.0608108,6.62162e-06,0.310528
1,0.0608108,6.75676e-06,0.31944
1,0.0608108,6.89189e-06,0.313233
1,0.0608108,7.02703e-06,0.314444
1,0.0608108,7.16216e-06,0.313019
1,0.0608108,7.2973e-06,0.313038
1,0.0608108,7.43243e-06,0.310975
1,0.0608108,7.56757e-06,0.318738
1,0.0608108,7.7027e-06,0.322071
1,0.0608108,7.83784e-06,0.317284
1,0.0608108,7.97297e-06,0.313175
1,0.0608108,8.10811e-06,0.315883
1,0.0608108,8.24324e-06,0.315543
1,0.0608108,8.37838e-06,0.316358
1,0.0608108,8.51351e-06,0.315373
1,0.0608108,8.64865e-06,0.318089
1,0.0608108,8.78378e-06,0.31324
1,0.0608108,8.91892e-06,0.321495
1,0.0608108,9.05405e-06,0.318877
1,0.0608108,9.18919e-06,0.316289
1,0.0608108,9.32432e-06,0.316716
1,0.0608108,9.45946e-06,0.318057
1,0.0608108,9.59459e-06,0.315062
1,0.0608108,9.72973e-06,0.31946
1,0.0608108,9.86486e-06,0.320232
1,0.0608108,1e-05,0.323372
1,0.0608108,1.01351e-05,0.320265
1,0.0608108,1.02703e-05,0.320716
1,0.0608108,1.04054e-05,0.315323
1,0.0608108,1.05405e-05,0.320122
1,0.0608108,1.06757e-05,0.315661
1,0.0608108,1.08108e-05,0.316612
1,0.0608108,1.09459e-05,0.317407
1,0.0608108,1.10811e-05,0.321063
1,0.0608108,1.12162e-05,0.318343
1,0.0608108,1.13514e-05,0.320893
1,0.0608108,1.14865e-05,0.321433
1,0.0608108,1.16216e-05,0.323267
1,0.0608108,1.17568e-05,0.319325
1,0.0608108,1.18919e-05,0.317467
1,0.0608108,1.2027e-05,0.319669
1,0.0608108,1.21622e-05,0.317098
1,0.0608108,1.22973e-05,0.320705
1,0.0608108,1.24324e-05,0.32344
1,0.0608108,1.25676e-05,0.317652
1,0.0608108,1.27027e-05,0.316926
1,0.0608108,1.28378e-05,0.31705
1,0.0608108,1.2973e-05,0.316523
1,0.0608108,1.31081e-05,0.315916
