omega,gamma,beta,firm,profit
1,0.0890937,6.94951e-06,1,0.135331
1,0.0890937,6.94951e-06,2,0.137177
1,0.0890937,7.14143e-06,1,0.136824
1,0.0890937,7.14143e-06,2,0.136812
1,0.0890937,7.33335e-06,1,0.135409
1,0.0890937,7.33335e-06,2,0.134349
1,0.0890937,7.52527e-06,1,0.13614
1,0.0890937,7.52527e-06,2,0.135324
1,0.0890937,7.71718e-06,1,0.134819
1,0.0890937,7.71718e-06,2,0.135295
1,0.0890937,7.9091e-06,1,0.13619
1,0.0890937,7.9091e-06,2,0.136522
1,0.0890937,8.10102e-06,1,0.135343
1,0.0890937,8.10102e-06,2,0.135924
1,0.0890937,8.29294e-06,1,0.137007
1,0.0890937,8.29294e-06,2,0.136672
1,0.0890937,8.48486e-06,1,0.137417
1,0.0890937,8.48486e-06,2,0.136912
1,0.0890937,8.67678e-06,1,0.135658
1,0.0890937,8.67678e-06,2,0.135347
1,0.0890937,8.86869e-06,1,0.136085
1,0.0890937,8.86869e-06,2,0.134815
1,0.0890937,9.06061e-06,1,0.13562
1,0.0890937,9.06061e-06,2,0.135231
1,0.0890937,9.25253e-06,1,0.136807
1,0.0890937,9.25253e-06,2,0.13613
1,0.0890937,9.44445e-06,1,0.136242
1,0.0890937,9.44445e-06,2,0.136769
1,0.0890937,9.63637e-06,1,0.135865
1,0.0890937,9.63637e-06,2,0.135985
1,0.0890937,9.82829e-06,1,0.134942
1,0.0890937,9.82829e-06,2,0.13476
1,0.0890937,1.00202e-05,1,0.13453
1,0.0890937,1.00202e-05,2,0.134465
1,0.0890937,1.02121e-05,1,0.134854
1,0.0890937,1.02121e-05,2,0.134566
1,0.0890937,1.0404e-05,1,0.135895
1,0.0890937,1.0404e-05,2,0.135459
1,0.0890937,1.0596e-05,1,0.135461
1,0.0890937,1.0596e-05,2,0.13509
1,0.0890937,1.07879e-05,1,0.135268
1,0.0890937,1.07879e-05,2,0.134515
1,0.0890937,1.09798e-05,1,0.135516
1,0.0890937,1.09798e-05,2,0.135879
1,0.0890937,1.11717e-05,1,0.134994
1,0.0890937,1.11717e-05,2,0.135581
1,0.0890937,1.13636e-05,1,0.135645
1,0.0890937,1.13636e-05,2,0.136295
1,0.0890937,1.15556e-05,1,0.134771
1,0.0890937,1.15556e-05,2,0.13431
1,0.0890937,1.17475e-05,1,0.135882
1,0.0890937,1.17475e-05,2,0.136971
1,0.0890937,1.19394e-05,1,0.134591
1,0.0890937,1.19394e-05,2,0.134817
1,0.0890937,1.21313e-05,1,0.134563
1,0.0890937,1.21313e-05,2,0.134872
1,0.0890937,1.23232e-05,1,0.135023
1,0.0890937,1.23232e-05,2,0.134551
1,0.0890937,1.25151e-05,1,0.135433
1,0.0890937,1.25151e-05,2,0.135486
1,0.0890937,1.27071e-05,1,0.134397
1,0.0890937,1.27071e-05,2,0.135585
1,0.0890937,1.2899e-05,1,0.134799
1,0.0890937,1.2899e-05,2,0.134879
1,0.0890937,1.30909e-05,1,0.135101
1,0.0890937,1.30909e-05,2,0.135538
1,0.0890937,1.32828e-05,1,0.134028
1,0.0890937,1.32828e-05,2,0.134403
1,0.0890937,1.34747e-05,1,0.135896
1,0.0890937,1.34747e-05,2,0.135271
1,0.0890937,1.36667e-05,1,0.135537
1,0.0890937,1.36667e-05,2,0.136174
1,0.0890937,1.38586e-05,1,0.135268
1,0.0890937,1.38586e-05,2,0.135506
1,0.0890937,1.40505e-05,1,0.134116
1,0.0890937,1.40505e-05,2,0.135312
1,0.0890937,1.42424e-05,1,0.135969
1,0.0890937,1.42424e-05,2,0.136294
1,0.0890937,1.44343e-05,1,0.134915
1,0.0890937,1.44343e-05,2,0.134925
1,0.0890937,1.46262e-05,1,0.135144
1,0.0890937,1.46262e-05,2,0.13489
1,0.0890937,1.48182e-05,1,0.134526
1,0.0890937,1.48182e-05,2,0.135119
1,0.0890937,1.50101e-05,1,0.135063
1,0.0890937,1.50101e-05,2,0.135332
1,0.0890937,1.5202e-05,1,0.135186
1,0.0890937,1.5202e-05,2,0.134178
1,0.0920229,5.798e-06,1,0.135563
1,0.0920229,5.798e-06,2,0.135326
1,0.0920229,5.98992e-06,1,0.136087
1,0.0920229,5.98992e-06,2,0.135985
1,0.0920229,6.18184e-06,1,0.13681
1,0.0920229,6.18184e-06,2,0.13547
1,0.0920229,6.37376e-06,1,0.135475
1,0.0920229,6.37376e-06,2,0.135354
1,0.0920229,6.56567e-06,1,0.136825
1,0.0920229,6.56567e-06,2,0.13651
1,0.0920229,6.75759e-06,1,0.136158
1,0.0920229,6.75759e-06,2,0.136461
1,0.0920229,6.94951e-06,1,0.136816
1,0.0920229,6.94951e-06,2,0.137488
1,0.0920229,7.14143e-06,1,0.136768
1,0.0920229,7.14143e-06,2,0.135786
1,0.0920229,7.33335e-06,1,0.135704
1,0.0920229,7.33335e-06,2,0.136735
1,0.0920229,7.52527e-06,1,0.134816
1,0.0920229,7.52527e-06,2,0.135681
1,0.0920229,7.71718e-06,1,0.136167
1,0.0920229,7.71718e-06,2,0.136436
1,0.0920229,7.9091e-06,1,0.135556
1,0.0920229,7.9091e-06,2,0.135044
1,0.0920229,8.10102e-06,1,0.136241
1,0.0920229,8.10102e-06,2,0.13614
1,0.0920229,8.29294e-06,1,0.134985
1,0.0920229,8.29294e-06,2,0.135459
1,0.0920229,8.48486e-06,1,0.13421
1,0.0920229,8.48486e-06,2,0.134773
1,0.0920229,8.67678e-06,1,0.133908
1,0.0920229,8.67678e-06,2,0.135462
1,0.0920229,8.86869e-06,1,0.135705
1,0.0920229,8.86869e-06,2,0.135426
1,0.0920229,9.06061e-06,1,0.135068
1,0.0920229,9.06061e-06,2,0.134934
1,0.0920229,9.25253e-06,1,0.136177
1,0.0920229,9.25253e-06,2,0.136476
1,0.0920229,9.44445e-06,1,0.134231
1,0.0920229,9.44445e-06,2,0.134736
1,0.0920229,9.63637e-06,1,0.134529
1,0.0920229,9.63637e-06,2,0.135411
1,0.0920229,9.82829e-06,1,0.135716
1,0.0920229,9.82829e-06,2,0.134981
1,0.0920229,1.00202e-05,1,0.134458
1,0.0920229,1.00202e-05,2,0.135293
1,0.0920229,1.02121e-05,1,0.135403
1,0.0920229,1.02121e-05,2,0.135024
1,0.0920229,1.0404e-05,1,0.136065
1,0.0920229,1.0404e-05,2,0.13592
1,0.0920229,1.0596e-05,1,0.134765
1,0.0920229,1.0596e-05,2,0.135711
1,0.0920229,1.07879e-05,1,0.134571
