gamma,theta_1,firm,profit
0.545455,1.1,2,0.102226
0.555556,0.9,1,0.144644
0.555556,0.9,2,0.140119
0.555556,1,1,0.123638
0.555556,1,2,0.119108
0.555556,1.1,1,0.102541
0.555556,1.1,2,0.101885
0.565657,0.9,1,0.145398
0.565657,0.9,2,0.138677
0.565657,1,1,0.12396
0.565657,1,2,0.118649
0.565657,1.1,1,0.102973
0.565657,1.1,2,0.101241
0.575758,0.9,1,0.147232
0.575758,0.9,2,0.13826
0.575758,1,1,0.124975
0.575758,1,2,0.118366
0.575758,1.1,1,0.102255
0.575758,1.1,2,0.100563
0.585859,0.9,1,0.148523
0.585859,0.9,2,0.138214
0.585859,1,1,0.124802
0.585859,1,2,0.118083
0.585859,1.1,1,0.102819
0.585859,1.1,2,0.10044
0.59596,0.9,1,0.14848
0.59596,0.9,2,0.138047
0.59596,1,1,0.126111
0.59596,1,2,0.117527
0.59596,1.1,1,0.102661
0.59596,1.1,2,0.0979902
0.606061,0.9,1,0.149543
0.606061,0.9,2,0.13937
0.606061,1,1,0.126013
0.606061,1,2,0.116666
0.606061,1.1,1,0.102891
0.606061,1.1,2,0.0984907
0.616162,0.9,1,0.149125
0.616162,0.9,2,0.138859
0.616162,1,1,0.126193
0.616162,1,2,0.116981
0.616162,1.1,1,0.103491
0.616162,1.1,2,0.0976067
0.626263,0.9,1,0.151099
0.626263,0.9,2,0.138574
0.626263,1,1,0.127008
0.626263,1,2,0.116108
0.626263,1.1,1,0.103372
0.626263,1.1,2,0.0960564
0.636364,0.9,1,0.152041
0.636364,0.9,2,0.138743
0.636364,1,1,0.12706
0.636364,1,2,0.115711
0.636364,1.1,1,0.103006
0.636364,1.1,2,0.0959066
0.646465,0.9,1,0.154687
0.646465,0.9,2,0.137772
0.646465,1,1,0.128069
0.646465,1,2,0.114993
0.646465,1.1,1,0.103386
0.646465,1.1,2,0.0950571
0.656566,0.9,1,0.15395
0.656566,0.9,2,0.138897
0.656566,1,1,0.127962
0.656566,1,2,0.114587
0.656566,1.1,1,0.102863
0.656566,1.1,2,0.0948977
0.666667,0.9,1,0.155694
0.666667,0.9,2,0.138513
0.666667,1,1,0.128838
0.666667,1,2,0.114275
0.666667,1.1,1,0.102852
0.666667,1.1,2,0.0938089
0.676768,0.9,1,0.154287
0.676768,0.9,2,0.139212
0.676768,1,1,0.129364
0.676768,1,2,0.113693
0.676768,1.1,1,0.102628
0.676768,1.1,2,0.0926246
0.686869,0.9,1,0.15736
0.686869,0.9,2,0.137937
0.686869,1,1,0.129477
0.686869,1,2,0.113898
0.686869,1.1,1,0.10293
0.686869,1.1,2,0.0925154
0.69697,0.9,1,0.157542
0.69697,0.9,2,0.138009
0.69697,1,1,0.129416
0.69697,1,2,0.11316
0.69697,1.1,1,0.103528
0.69697,1.1,2,0.0913374
0.707071,0.9,1,0.15702
0.707071,0.9,2,0.138521
0.707071,1,1,0.129736
0.707071,1,2,0.113368
0.707071,1.1,1,0.103368
0.707071,1.1,2,0.090658
0.717172,0.9,1,0.160132
0.717172,0.9,2,0.137155
0.717172,1,1,0.1303
0.717172,1,2,0.112992
0.717172,1.1,1,0.102222
0.717172,1.1,2,0.090781
0.727273,0.9,1,0.160756
0.727273,0.9,2,0.138639
0.727273,1,1,0.130828
0.727273,1,2,0.111882
0.727273,1.1,1,0.102664
0.727273,1.1,2,0.0900771
0.737374,0.9,1,0.161072
0.737374,0.9,2,0.137893
0.737374,1,1,0.131578
0.737374,1,2,0.11153
0.737374,1.1,1,0.103127
0.737374,1.1,2,0.0891176
0.747475,0.9,1,0.161899
0.747475,0.9,2,0.138268
0.747475,1,1,0.131743
0.747475,1,2,0.111832
0.747475,1.1,1,0.103218
0.747475,1.1,2,0.0885578
0.757576,0.9,1,0.162677
0.757576,0.9,2,0.138622
0.757576,1,1,0.132267
0.757576,1,2,0.110343
0.757576,1.1,1,0.103046
0.757576,1.1,2,0.0879829
0.767677,0.9,1,0.16461
0.767677,0.9,2,0.137171
0.767677,1,1,0.132492
0.767677,1,2,0.110106
0.767677,1.1,1,0.103003
0.767677,1.1,2,0.0876481
0.777778,0.9,1,0.165351
0.777778,0.9,2,0.137674
0.777778,1,1,0.13227
0.777778,1,2,0.110532
0.777778,1.1,1,0.10326
0.777778,1.1,2,0.086865
0.787879,0.9,1,0.16514
0.787879,0.9,2,0.136028
0.787879,1,1,0.133125
0.787879,1,2,0.110071
0.787879,1.1,1,0.103006
0.787879,1.1,2,0.0859839
0.79798,0.9,1,0.16621
0.79798,0.9,2,0.136655
0.79798,1,1,0.133497
0.79798,1,2,0.109207
0.79798,1.1,1,0.1032
0.79798,1.1,2,0.0849184
0.808081,0.9,1,0.167414
0.808081,0.9,2,0.136906
0.808081,1,1,0.13454
0.808081,1,2,0.108397
0.808081,1.1,1,0.103147
0.808081,1.1,2,0.0844453
0.818182,0.9,1,0.16712
0.818182,0.9,2,0.137281
0.818182,1,1,0.134651
0.818182,1,2,0.108557
0.818182,1.1,1,0.103698
0.818182,1.1,2,0.0834089
0.828283,0.9,1,0.169083
0.828283,0.9,2,0.137088
0.828283,1,1,0.134707
0.828283,1,2,0.107998
0.828283,1.1,1,0.103566
0.828283,1.1,2,0.0833364
0.838384,0.9,1,0.169659
0.838384,0.9,2,0.137348
0.838384,1,1,0.135197
0.838384,1,2,0.107297
0.838384,1.1,1,0.103756
0.838384,1.1,2,0.0821533
0.848485,0.9,1,0.170252
0.848485,0.9,2,0.13692
0.848485,1,1,0.135914
0.848485,1,2,0.106738
0.848485,1.1,1,0.103203
0.848485,1.1,2,0.0820892
0.858586,0.9,1,0.172133
0.858586,0.9,2,0.13629
0.858586,1,1,0.135896
0.858586,1,2,0.107179
0.858586,1.1,1,0.103766
0.858586,1.1,2,0.0814445
0.868687,0.9,1,0.173632
0.868687,0.9,2,0.136415
0.868687,1,1,0.136119
0.868687,1,2,0.106627
0.868687,1.1,1,0.103537
0.868687,1.1,2,0.0803225
0.878788,0.9,1,0.172829
0.878788,0.9,2,0.135809
0.878788,1,1,0.136015
0.878788,1,2,0.106324
0.878788,1.1,1,0.103716
0.878788,1.1,2,0.0801883
0.888889,0.9,1,0.174854
0.888889,0.9,2,0.13692
0.888889,1,1,0.137125
0.888889,1,2,0.105803
0.888889,1.1,1,0.103683
0.888889,1.1,2,0.0792755
0.89899,0.9,1,0.174452
0.89899,0.9,2,0.136685
0.89899,1,1,0.137549
0.89899,1,2,0.104801
0.89899,1.1,1,0.104079
0.89899,1.1,2,0.0792095
0.909091,0.9,1,0.177058
0.909091,0.9,2,0.13552
0.909091,1,1,0.137275
0.909091,1,2,0.105318
0.909091,1.1,1,0.103986
0.909091,1.1,2,0.0779942
0.919192,0.9,1,0.177092
0.919192,0.9,2,0.137289
0.919192,1,1,0.138146
0.919192,1,2,0.104788
0.919192,1.1,1,0.104129
0.919192,1.1,2,0.0773443
0.929293,0.9,1,0.178401
0.929293,0.9,2,0.135931
0.929293,1,1,0.138154
0.929293,1,2,0.104302
0.929293,1.1,1,0.103696
0.929293,1.1,2,0.0770391
0.939394,0.9,1,0.178438
0.939394,0.9,2,0.136447
0.939394,1,1,0.139528
0.939394,1,2,0.104115
0.939394,1.1,1,0.10428
0.939394,1.1,2,0.0760893
0.949495,0.9,1,0.180096
0.949495,0.9,2,0.135752
0.949495,1,1,0.139714
0.949495,1,2,0.103496
0.949495,1.1,1,0.104226
0.949495,1.1,2,0.0759214
0.959596,0.9,1,0.180426
0.959596,0.9,2,0.135981
0.959596,1,1,0.138934
0.959596,1,2,0.103661
0.959596,1.1,1,0.104932
0.959596,1.1,2,0.0749576
0.969697,0.9,1,0.181904
0.969697,0.9,2,0.135654
0.969697,1,1,0.139894
0.969697,1,2,0.102997
0.969697,1.1,1,0.104884
0.969697,1.1,2,0.0742194
0.979798,0.9,1,0.18376
0.979798,0.9,2,0.137442
0.979798,1,1,0.140789
0.979798,1,2,0.10183
0.979798,1.1,1,0.104452
0.979798,1.1,2,0.0740307
0.989899,0.9,1,0.18356
0.989899,0.9,2,0.134844
0.989899,1,1,0.141005
0.989899,1,2,0.101125
0.989899,1.1,1,0.104258
0.989899,1.1,2,0.0735847
1,0.9,1,0.186085
1,0.9,2,0.134983
1,1,1,0.141001
1,1,2,0.101974
1,1.1,1,0.103735
1,1.1,2,0.0737143
