omega,c,firm,profit
1,0.328283,1,0.130065
1,0.328283,2,0.13181
1,0.333333,1,0.130348
1,0.333333,2,0.129511
1,0.338384,1,0.130521
1,0.338384,2,0.130961
1,0.343434,1,0.130678
1,0.343434,2,0.131445
1,0.348485,1,0.12991
1,0.348485,2,0.130653
1,0.353535,1,0.130181
1,0.353535,2,0.129975
1,0.358586,1,0.129386
1,0.358586,2,0.129621
1,0.363636,1,0.129144
1,0.363636,2,0.127984
1,0.368687,1,0.128819
1,0.368687,2,0.129301
1,0.373737,1,0.128716
1,0.373737,2,0.128167
1,0.378788,1,0.127798
1,0.378788,2,0.127823
1,0.383838,1,0.128458
1,0.383838,2,0.127923
1,0.388889,1,0.128222
1,0.388889,2,0.127411
1,0.393939,1,0.127995
1,0.393939,2,0.128122
1,0.39899,1,0.126856
1,0.39899,2,0.12722
1,0.40404,1,0.12643
1,0.40404,2,0.126228
1,0.409091,1,0.125573
1,0.409091,2,0.125838
1,0.414141,1,0.126662
1,0.414141,2,0.12721
1,0.419192,1,0.125449
1,0.419192,2,0.126029
1,0.424242,1,0.124681
1,0.424242,2,0.125511
1,0.429293,1,0.124884
1,0.429293,2,0.125802
1,0.434343,1,0.12529
1,0.434343,2,0.124548
1,0.439394,1,0.122751
1,0.439394,2,0.123469
1,0.444444,1,0.124193
1,0.444444,2,0.122976
1,0.449495,1,0.123764
1,0.449495,2,0.123535
1,0.454545,1,0.123434
1,0.454545,2,0.124032
1,0.459596,1,0.123572
1,0.459596,2,0.122845
1,0.464646,1,0.123853
1,0.464646,2,0.123282
1,0.469697,1,0.122955
1,0.469697,2,0.123375
1,0.474747,1,0.122359
1,0.474747,2,0.122239
1,0.479798,1,0.123424
1,0.479798,2,0.122171
1,0.484848,1,0.121838
1,0.484848,2,0.122586
1,0.489899,1,0.121897
1,0.489899,2,0.121531
1,0.494949,1,0.121136
1,0.494949,2,0.121868
1,0.5,1,0.1204
1,0.5,2,0.12086
