omega,c,action,Count
0,0.348485,1,0.135892
0,0.348485,2,0.720332
0,0.348485,3,0.0088776
0,0.348485,4,0.134899
0,0.353535,1,0.140858
0,0.353535,2,0.702197
0,0.353535,3,0.0244247
0,0.353535,4,0.13252
0,0.358586,1,0.126597
0,0.358586,2,0.734339
0,0.358586,3,0.0126746
0,0.358586,4,0.126389
0,0.363636,1,0.125181
0,0.363636,2,0.740899
0,0.363636,3,0.0089798
0,0.363636,4,0.12494
0,0.368687,1,0.119263
0,0.368687,2,0.742837
0,0.368687,3,0.0138436
0,0.368687,4,0.124056
0,0.373737,1,0.126235
0,0.373737,2,0.734605
0,0.373737,3,0.0149229
0,0.373737,4,0.124237
0,0.378788,1,0.112348
0,0.378788,2,0.745338
0,0.378788,3,0.0221082
0,0.378788,4,0.120206
0,0.383838,1,0.127159
0,0.383838,2,0.725093
0,0.383838,3,0.0186069
0,0.383838,4,0.129141
0,0.388889,1,0.119389
0,0.388889,2,0.742523
0,0.388889,3,0.017434
0,0.388889,4,0.120654
0,0.393939,1,0.140718
0,0.393939,2,0.715229
0,0.393939,3,0.0073362
0,0.393939,4,0.136717
0,0.39899,1,0.143689
0,0.39899,2,0.686627
0,0.39899,3,0.0244086
0,0.39899,4,0.145275
0,0.40404,1,0.122325
0,0.40404,2,0.73624
0,0.40404,3,0.0166353
0,0.40404,4,0.1248
0,0.409091,1,0.153134
0,0.409091,2,0.680213
0,0.409091,3,0.0120884
0,0.409091,4,0.154564
0,0.414141,1,0.16328
0,0.414141,2,0.666747
0,0.414141,3,0.0086926
0,0.414141,4,0.161281
0,0.419192,1,0.113121
0,0.419192,2,0.773496
0,0.419192,3,0.0054932
0,0.419192,4,0.10789
0,0.424242,1,0.155342
0,0.424242,2,0.666489
0,0.424242,3,0.0195876
0,0.424242,4,0.158582
0,0.429293,1,0.156693
0,0.429293,2,0.665551
0,0.429293,3,0.0069829
0,0.429293,4,0.170773
0,0.434343,1,0.149868
0,0.434343,2,0.693827
0,0.434343,3,0.0076857
0,0.434343,4,0.14862
0,0.439394,1,0.125601
0,0.439394,2,0.726022
0,0.439394,3,0.0117658
0,0.439394,4,0.136611
0,0.444444,1,0.109253
0,0.444444,2,0.767189
0,0.444444,3,0.0187209
0,0.444444,4,0.104838
0,0.449495,1,0.144344
0,0.449495,2,0.693659
0,0.449495,3,0.0191196
0,0.449495,4,0.142878
0,0.454545,1,0.138665
0,0.454545,2,0.710963
0,0.454545,3,0.0117065
0,0.454545,4,0.138666
0,0.459596,1,0.146587
0,0.459596,2,0.683229
0,0.459596,3,0.0230272
0,0.459596,4,0.147157
0,0.464646,1,0.131344
0,0.464646,2,0.735213
0,0.464646,3,0.0040968
0,0.464646,4,0.129346
0,0.469697,1,0.128147
