omega,c,firm,demand
0.8,0.282828,1,0.369779
0.8,0.282828,2,0.368589
0.8,0.287879,1,0.372376
0.8,0.287879,2,0.367782
0.8,0.292929,1,0.370907
0.8,0.292929,2,0.367267
0.8,0.29798,1,0.369526
0.8,0.29798,2,0.372709
0.8,0.30303,1,0.372547
0.8,0.30303,2,0.365328
0.8,0.308081,1,0.373263
0.8,0.308081,2,0.365845
0.8,0.313131,1,0.370277
0.8,0.313131,2,0.365371
0.8,0.318182,1,0.368571
0.8,0.318182,2,0.368014
0.8,0.323232,1,0.364142
0.8,0.323232,2,0.37115
0.8,0.328283,1,0.36306
0.8,0.328283,2,0.369336
0.8,0.333333,1,0.365108
0.8,0.333333,2,0.368154
0.8,0.338384,1,0.363492
0.8,0.338384,2,0.368634
0.8,0.343434,1,0.365247
0.8,0.343434,2,0.364138
0.8,0.348485,1,0.36493
0.8,0.348485,2,0.364207
0.8,0.353535,1,0.362798
0.8,0.353535,2,0.365032
0.8,0.358586,1,0.359639
0.8,0.358586,2,0.367325
0.8,0.363636,1,0.363633
0.8,0.363636,2,0.360604
0.8,0.368687,1,0.35922
0.8,0.368687,2,0.364396
0.8,0.373737,1,0.365808
0.8,0.373737,2,0.359451
0.8,0.378788,1,0.360916
0.8,0.378788,2,0.365767
0.8,0.383838,1,0.362142
0.8,0.383838,2,0.360204
0.8,0.388889,1,0.358862
0.8,0.388889,2,0.363671
0.8,0.393939,1,0.360764
0.8,0.393939,2,0.356944
0.8,0.39899,1,0.356278
0.8,0.39899,2,0.361135
0.8,0.40404,1,0.357505
0.8,0.40404,2,0.360856
0.8,0.409091,1,0.355183
0.8,0.409091,2,0.359845
0.8,0.414141,1,0.356448
0.8,0.414141,2,0.361414
0.8,0.419192,1,0.357263
0.8,0.419192,2,0.359518
0.8,0.424242,1,0.357629
0.8,0.424242,2,0.355216
0.8,0.429293,1,0.352805
0.8,0.429293,2,0.359343
0.8,0.434343,1,0.35548
0.8,0.434343,2,0.357203
0.8,0.439394,1,0.354692
0.8,0.439394,2,0.353025
0.8,0.444444,1,0.354749
0.8,0.444444,2,0.358408
0.8,0.449495,1,0.35568
0.8,0.449495,2,0.35364
0.8,0.454545,1,0.351039
0.8,0.454545,2,0.357184
0.8,0.459596,1,0.356482
