omega,gamma,beta,action,Count
0.8,0.0861646,1.17475e-05,2,0.868197
0.8,0.0861646,1.17475e-05,3,0.0075847
0.8,0.0861646,1.17475e-05,4,0.0621092
0.8,0.0861646,1.19394e-05,1,0.0593461
0.8,0.0861646,1.19394e-05,2,0.858638
0.8,0.0861646,1.19394e-05,3,0.0226591
0.8,0.0861646,1.19394e-05,4,0.0593569
0.8,0.0861646,1.21313e-05,1,0.0451216
0.8,0.0861646,1.21313e-05,2,0.909661
0.8,0.0861646,1.21313e-05,3,0.0001137
0.8,0.0861646,1.21313e-05,4,0.0451033
0.8,0.0861646,1.23232e-05,1,0.0578915
0.8,0.0861646,1.23232e-05,2,0.876993
0.8,0.0861646,1.23232e-05,3,0.0072362
0.8,0.0861646,1.23232e-05,4,0.0578792
0.8,0.0861646,1.25151e-05,1,0.0864773
0.8,0.0861646,1.25151e-05,2,0.813913
0.8,0.0861646,1.25151e-05,3,0.0125599
0.8,0.0861646,1.25151e-05,4,0.0870501
0.8,0.0861646,1.27071e-05,1,0.0607708
0.8,0.0861646,1.27071e-05,2,0.87019
0.8,0.0861646,1.27071e-05,3,0.0085758
0.8,0.0861646,1.27071e-05,4,0.0604636
0.8,0.0861646,1.2899e-05,1,0.0528847
0.8,0.0861646,1.2899e-05,2,0.893255
0.8,0.0861646,1.2899e-05,3,0.000974
0.8,0.0861646,1.2899e-05,4,0.0528858
0.8,0.0861646,1.30909e-05,1,0.0530386
0.8,0.0861646,1.30909e-05,2,0.886294
0.8,0.0861646,1.30909e-05,3,0.0075227
0.8,0.0861646,1.30909e-05,4,0.0531448
0.8,0.0861646,1.32828e-05,1,0.061969
0.8,0.0861646,1.32828e-05,2,0.8553
0.8,0.0861646,1.32828e-05,3,0.0205772
0.8,0.0861646,1.32828e-05,4,0.0621537
0.8,0.0861646,1.34747e-05,1,0.0543533
0.8,0.0861646,1.34747e-05,2,0.889436
0.8,0.0861646,1.34747e-05,3,0.0024257
0.8,0.0861646,1.34747e-05,4,0.0537848
