omega,gamma,theta_1,action,Count
0,0.333333,1.1,2,0.449266
0,0.333333,1.1,3,0.0360566
0,0.333333,1.1,4,0.196361
0,0.343434,0.9,1,0.222305
0,0.343434,0.9,2,0.565283
0,0.343434,0.9,3,0.0339858
0,0.343434,0.9,4,0.178426
0,0.343434,1,1,0.297547
0,0.343434,1,2,0.432815
0,0.343434,1,3,0.0513582
0,0.343434,1,4,0.21828
0,0.343434,1.1,1,0.308104
0,0.343434,1.1,2,0.459405
0,0.343434,1.1,3,0.0508856
0,0.343434,1.1,4,0.181605
0,0.353535,0.9,1,0.181532
0,0.353535,0.9,2,0.621652
0,0.353535,0.9,3,0.0370622
0,0.353535,0.9,4,0.159754
0,0.353535,1,1,0.282853
0,0.353535,1,2,0.435357
0,0.353535,1,3,0.0723441
0,0.353535,1,4,0.209446
0,0.353535,1.1,1,0.310914
0,0.353535,1.1,2,0.419415
0,0.353535,1.1,3,0.0588716
0,0.353535,1.1,4,0.210799
0,0.363636,0.9,1,0.209053
0,0.363636,0.9,2,0.589261
0,0.363636,0.9,3,0.0300946
0,0.363636,0.9,4,0.171591
0,0.363636,1,1,0.271654
0,0.363636,1,2,0.478185
0,0.363636,1,3,0.0446338
0,0.363636,1,4,0.205527
0,0.363636,1.1,1,0.283117
0,0.363636,1.1,2,0.464379
0,0.363636,1.1,3,0.075431
0,0.363636,1.1,4,0.177074
0,0.373737,0.9,1,0.184394
0,0.373737,0.9,2,0.638174
0,0.373737,0.9,3,0.0143982
0,0.373737,0.9,4,0.163034
0,0.373737,1,1,0.280331
0,0.373737,1,2,0.46032
0,0.373737,1,3,0.0403626
0,0.373737,1,4,0.218987
0,0.373737,1.1,1,0.291426
0,0.373737,1.1,2,0.495279
0,0.373737,1.1,3,0.0467189
0,0.373737,1.1,4,0.166576
0,0.383838,0.9,1,0.157359
0,0.383838,0.9,2,0.670541
0,0.383838,0.9,3,0.0316721
0,0.383838,0.9,4,0.140428
0,0.383838,1,1,0.241695
0,0.383838,1,2,0.506884
0,0.383838,1,3,0.0637092
0,0.383838,1,4,0.187711
0,0.383838,1.1,1,0.27058
0,0.383838,1.1,2,0.476351
0,0.383838,1.1,3,0.0761189
0,0.383838,1.1,4,0.17695
0,0.393939,0.9,1,0.19099
0,0.393939,0.9,2,0.618789
0,0.393939,0.9,3,0.0231464
0,0.393939,0.9,4,0.167075
0,0.393939,1,1,0.233452
0,0.393939,1,2,0.510948
0,0.393939,1,3,0.0473181
0,0.393939,1,4,0.208282
0,0.393939,1.1,1,0.293168
0,0.393939,1.1,2,0.456157
0,0.393939,1.1,3,0.0482471
0,0.393939,1.1,4,0.202428
0,0.40404,0.9,1,0.184835
0,0.40404,0.9,2,0.619673
0,0.40404,0.9,3,0.0205123
0,0.40404,0.9,4,0.174979
0,0.40404,1,1,0.219401
0,0.40404,1,2,0.539914
0,0.40404,1,3,0.0464749
0,0.40404,1,4,0.194209
0,0.40404,1.1,1,0.298165
0,0.40404,1.1,2,0.432775
0,0.40404,1.1,3,0.0521116
0,0.40404,1.1,4,0.216948
0,0.414141,0.9,1,0.138462
0,0.414141,0.9,2,0.702311
0,0.414141,0.9,3,0.0259208
0,0.414141,0.9,4,0.133307
0,0.414141,1,1,0.188219
0,0.414141,1,2,0.609491
0,0.414141,1,3,0.0433521
0,0.414141,1,4,0.158938
0,0.414141,1.1,1,0.295319
0,0.414141,1.1,2,0.434894
0,0.414141,1.1,3,0.0465311
0,0.414141,1.1,4,0.223256
0,0.424242,0.9,1,0.0988534
0,0.424242,0.9,2,0.778783
0,0.424242,0.9,3,0.0251172
0,0.424242,0.9,4,0.0972461
0,0.424242,1,1,0.170307
0,0.424242,1,2,0.63468
0,0.424242,1,3,0.0290615
0,0.424242,1,4,0.165952
0,0.424242,1.1,1,0.266002
0,0.424242,1.1,2,0.471107
0,0.424242,1.1,3,0.0604768
0,0.424242,1.1,4,0.202414
0,0.434343,0.9,1,0.1187
0,0.434343,0.9,2,0.751216
0,0.434343,0.9,3,0.0148062
0,0.434343,0.9,4,0.115277
0,0.434343,1,1,0.189159
0,0.434343,1,2,0.60473
0,0.434343,1,3,0.0324349
0,0.434343,1,4,0.173676
0,0.434343,1.1,1,0.272996
0,0.434343,1.1,2,0.470795
0,0.434343,1.1,3,0.0489132
0,0.434343,1.1,4,0.207295
0,0.444444,0.9,1,0.111499
0,0.444444,0.9,2,0.757906
0,0.444444,0.9,3,0.019469
0,0.444444,0.9,4,0.111125
0,0.444444,1,1,0.144562
0,0.444444,1,2,0.689721
0,0.444444,1,3,0.0232671
0,0.444444,1,4,0.14245
0,0.444444,1.1,1,0.248853
0,0.444444,1.1,2,0.500264
0,0.444444,1.1,3,0.060021
0,0.444444,1.1,4,0.190862
0,0.454545,0.9,1,0.116305
0,0.454545,0.9,2,0.764213
0,0.454545,0.9,3,0.0009161
0,0.454545,0.9,4,0.118565
0,0.454545,1,1,0.158479
0,0.454545,1,2,0.664137
0,0.454545,1,3,0.024078
0,0.454545,1,4,0.153306
0,0.454545,1.1,1,0.214428
0,0.454545,1.1,2,0.569186
0,0.454545,1.1,3,0.0418185
0,0.454545,1.1,4,0.174567
0,0.464646,0.9,1,0.125711
0,0.464646,0.9,2,0.725732
0,0.464646,0.9,3,0.0214175
0,0.464646,0.9,4,0.12714
0,0.464646,1,1,0.118772
0,0.464646,1,2,0.736359
0,0.464646,1,3,0.024669
0,0.464646,1,4,0.1202
0,0.464646,1.1,1,0.20663
0,0.464646,1.1,2,0.588827
0,0.464646,1.1,3,0.0149682
0,0.464646,1.1,4,0.189575
0,0.474747,0.9,1,0.116265
0,0.474747,0.9,2,0.753134
0,0.474747,0.9,3,0.0149322
0,0.474747,0.9,4,0.115669
0,0.474747,1,1,0.133685
0,0.474747,1,2,0.698549
0,0.474747,1,3,0.0299291
0,0.474747,1,4,0.137837
0,0.474747,1.1,1,0.180378
0,0.474747,1.1,2,0.649499
0,0.474747,1.1,3,0.0149606
0,0.474747,1.1,4,0.155162
0,0.484848,0.9,1,0.144438
0,0.484848,0.9,2,0.69009
0,0.484848,0.9,3,0.0130866
0,0.484848,0.9,4,0.152385
0,0.484848,1,1,0.119009
0,0.484848,1,2,0.746179
0,0.484848,1,3,0.0177943
0,0.484848,1,4,0.117017
0,0.484848,1.1,1,0.190312
0,0.484848,1.1,2,0.606309
0,0.484848,1.1,3,0.0291168
0,0.484848,1.1,4,0.174263
0,0.494949,0.9,1,0.112944
0,0.494949,0.9,2,0.757349
0,0.494949,0.9,3,0.0131196
0,0.494949,0.9,4,0.116587
0,0.494949,1,1,0.11884
0,0.494949,1,2,0.737825
0,0.494949,1,3,0.0254123
0,0.494949,1,4,0.117923
0,0.494949,1.1,1,0.175837
0,0.494949,1.1,2,0.639648
0,0.494949,1.1,3,0.0205318
0,0.494949,1.1,4,0.163982
0,0.505051,0.9,1,0.108578
0,0.505051,0.9,2,0.760216
0,0.505051,0.9,3,0.0104492
0,0.505051,0.9,4,0.120758
0,0.505051,1,1,0.101512
0,0.505051,1,2,0.778341
0,0.505051,1,3,0.0173942
0,0.505051,1,4,0.102753
0,0.505051,1.1,1,0.13336
0,0.505051,1.1,2,0.716351
0,0.505051,1.1,3,0.0338941
0,0.505051,1.1,4,0.116395
0,0.515152,0.9,1,0.15161
0,0.515152,0.9,2,0.669689
0,0.515152,0.9,3,0.0102122
0,0.515152,0.9,4,0.168489
0,0.515152,1,1,0.153024
0,0.515152,1,2,0.681769
0,0.515152,1,3,0.0115178
0,0.515152,1,4,0.15369
0,0.515152,1.1,1,0.150042
0,0.515152,1.1,2,0.684492
0,0.515152,1.1,3,0.0236737
0,0.515152,1.1,4,0.141793
0,0.525253,0.9,1,0.144729
0,0.525253,0.9,2,0.672076
0,0.525253,0.9,3,0.0241087
0,0.525253,0.9,4,0.159086
0,0.525253,1,1,0.160371
0,0.525253,1,2,0.65215
0,0.525253,1,3,0.024471
0,0.525253,1,4,0.163008
0,0.525253,1.1,1,0.144653
0,0.525253,1.1,2,0.683867
0,0.525253,1.1,3,0.0300218
0,0.525253,1.1,4,0.141457
0,0.535354,0.9,1,0.148574
0,0.535354,0.9,2,0.65666
0,0.535354,0.9,3,0.010525
0,0.535354,0.9,4,0.184241
0,0.535354,1,1,0.150382
0,0.535354,1,2,0.678836
0,0.535354,1,3,0.0167313
0,0.535354,1,4,0.15405
0,0.535354,1.1,1,0.106512
0,0.535354,1.1,2,0.76118
0,0.535354,1.1,3,0.025798
0,0.535354,1.1,4,0.10651
0,0.545455,0.9,1,0.1905
0,0.545455,0.9,2,0.580243
0,0.545455,0.9,3,0.0257841
0,0.545455,0.9,4,0.203472
0,0.545455,1,1,0.157406
0,0.545455,1,2,0.653082
0,0.545455,1,3,0.0254884
0,0.545455,1,4,0.164024
0,0.545455,1.1,1,0.131153
0,0.545455,1.1,2,0.713773
0,0.545455,1.1,3,0.0265984
0,0.545455,1.1,4,0.128475
0,0.555556,0.9,1,0.168028
0,0.555556,0.9,2,0.578415
0,0.555556,0.9,3,0.0240005
0,0.555556,0.9,4,0.229557
0,0.555556,1,1,0.136701
0,0.555556,1,2,0.672589
0,0.555556,1,3,0.0397665
0,0.555556,1,4,0.150944
0,0.555556,1.1,1,0.114059
0,0.555556,1.1,2,0.749538
0,0.555556,1.1,3,0.018177
0,0.555556,1.1,4,0.118226
0,0.565657,0.9,1,0.184055
0,0.565657,0.9,2,0.533156
0,0.565657,0.9,3,0.0326147
0,0.565657,0.9,4,0.250174
0,0.565657,1,1,0.179487
0,0.565657,1,2,0.611405
0,0.565657,1,3,0.0284667
0,0.565657,1,4,0.18064
0,0.565657,1.1,1,0.126198
0,0.565657,1.1,2,0.718986
0,0.565657,1.1,3,0.0273753
0,0.565657,1.1,4,0.127441
0,0.575758,0.9,1,0.197251
0,0.575758,0.9,2,0.502439
0,0.575758,0.9,3,0.0347234
0,0.575758,0.9,4,0.265587
