omega,gamma,theta_1,cs
0.8,0.727273,1,0.359414
0.8,0.727273,1.1,0.304475
0.8,0.737374,0.9,0.434023
0.8,0.737374,1,0.361853
0.8,0.737374,1.1,0.303031
0.8,0.747475,0.9,0.434654
0.8,0.747475,1,0.360137
0.8,0.747475,1.1,0.302401
0.8,0.757576,0.9,0.434313
0.8,0.757576,1,0.361831
0.8,0.757576,1.1,0.306604
0.8,0.767677,0.9,0.438038
0.8,0.767677,1,0.361898
0.8,0.767677,1.1,0.303668
0.8,0.777778,0.9,0.43827
0.8,0.777778,1,0.36335
0.8,0.777778,1.1,0.30413
0.8,0.787879,0.9,0.444164
0.8,0.787879,1,0.364404
0.8,0.787879,1.1,0.304611
0.8,0.79798,0.9,0.44683
0.8,0.79798,1,0.36559
0.8,0.79798,1.1,0.305491
0.8,0.808081,0.9,0.44579
0.8,0.808081,1,0.368322
0.8,0.808081,1.1,0.30547
0.8,0.818182,0.9,0.449718
0.8,0.818182,1,0.366499
0.8,0.818182,1.1,0.305421
0.8,0.828283,0.9,0.448248
0.8,0.828283,1,0.368984
0.8,0.828283,1.1,0.307248
0.8,0.838384,0.9,0.455546
0.8,0.838384,1,0.369145
0.8,0.838384,1.1,0.305273
0.8,0.848485,0.9,0.460327
0.8,0.848485,1,0.369231
0.8,0.848485,1.1,0.30584
0.8,0.858586,0.9,0.460243
0.8,0.858586,1,0.374905
0.8,0.858586,1.1,0.305828
0.8,0.868687,0.9,0.465931
0.8,0.868687,1,0.374042
0.8,0.868687,1.1,0.304469
0.8,0.878788,0.9,0.468282
0.8,0.878788,1,0.374066
0.8,0.878788,1.1,0.30503
0.8,0.888889,0.9,0.467682
0.8,0.888889,1,0.375954
0.8,0.888889,1.1,0.305183
0.8,0.89899,0.9,0.466854
0.8,0.89899,1,0.378026
0.8,0.89899,1.1,0.305358
0.8,0.909091,0.9,0.474861
0.8,0.909091,1,0.379409
0.8,0.909091,1.1,0.309969
0.8,0.919192,0.9,0.476463
0.8,0.919192,1,0.380244
0.8,0.919192,1.1,0.305242
0.8,0.929293,0.9,0.479985
0.8,0.929293,1,0.380445
0.8,0.929293,1.1,0.306969
0.8,0.939394,0.9,0.48296
0.8,0.939394,1,0.382318
0.8,0.939394,1.1,0.308635
0.8,0.949495,0.9,0.482501
0.8,0.949495,1,0.384967
0.8,0.949495,1.1,0.308569
0.8,0.959596,0.9,0.488551
0.8,0.959596,1,0.383144
0.8,0.959596,1.1,0.308239
0.8,0.969697,0.9,0.491048
0.8,0.969697,1,0.387012
0.8,0.969697,1.1,0.309575
0.8,0.979798,0.9,0.492268
0.8,0.979798,1,0.386652
0.8,0.979798,1.1,0.311344
0.8,0.989899,0.9,0.496578
0.8,0.989899,1,0.389055
0.8,0.989899,1.1,0.309894
0.8,1,0.9,0.498614
0.8,1,1,0.389692
0.8,1,1.1,0.309449
1,0,0.9,0.348635
1,0,1,0.346112
1,0,1.1,0.350233
1,0.010101,0.9,0.347311
1,0.010101,1,0.346233
1,0.010101,1.1,0.351744
1,0.020202,0.9,0.352789
1,0.020202,1,0.34757
1,0.020202,1.1,0.349021
1,0.030303,0.9,0.354479
1,0.030303,1,0.346734
1,0.030303,1.1,0.344165
1,0.040404,0.9,0.351149
1,0.040404,1,0.346306
1,0.040404,1.1,0.345813
1,0.0505051,0.9,0.34933
1,0.0505051,1,0.349206
1,0.0505051,1.1,0.343725
1,0.0606061,0.9,0.350421
1,0.0606061,1,0.347571
1,0.0606061,1.1,0.342768
1,0.0707071,0.9,0.350192
1,0.0707071,1,0.345627
1,0.0707071,1.1,0.339734
1,0.0808081,0.9,0.351318
1,0.0808081,1,0.347935
1,0.0808081,1.1,0.340354
1,0.0909091,0.9,0.351822
1,0.0909091,1,0.342007
1,0.0909091,1.1,0.335515
1,0.10101,0.9,0.352028
1,0.10101,1,0.343396
1,0.10101,1.1,0.338763
1,0.111111,0.9,0.352707
1,0.111111,1,0.346508
1,0.111111,1.1,0.337564
1,0.121212,0.9,0.352522
1,0.121212,1,0.339966
1,0.121212,1.1,0.33565
1,0.131313,0.9,0.355518
1,0.131313,1,0.341837
1,0.131313,1.1,0.330586
1,0.141414,0.9,0.351536
1,0.141414,1,0.342044
1,0.141414,1.1,0.335132
1,0.151515,0.9,0.354716
1,0.151515,1,0.336536
1,0.151515,1.1,0.332099
1,0.161616,0.9,0.350077
1,0.161616,1,0.338122
1,0.161616,1.1,0.329698
1,0.171717,0.9,0.351703
1,0.171717,1,0.340151
1,0.171717,1.1,0.328195
1,0.181818,0.9,0.35265
1,0.181818,1,0.338912
1,0.181818,1.1,0.327638
1,0.191919,0.9,0.352596
1,0.191919,1,0.333809
1,0.191919,1.1,0.325986
1,0.20202,0.9,0.353132
1,0.20202,1,0.335925
1,0.20202,1.1,0.325518
1,0.212121,0.9,0.348354
1,0.212121,1,0.336951
1,0.212121,1.1,0.324863
1,0.222222,0.9,0.352719
1,0.222222,1,0.335032
1,0.222222,1.1,0.322078
1,0.232323,0.9,0.352742
1,0.232323,1,0.334949
1,0.232323,1.1,0.325221
1,0.242424,0.9,0.35027
1,0.242424,1,0.333523
1,0.242424,1.1,0.321492
1,0.252525,0.9,0.345217
1,0.252525,1,0.332655
1,0.252525,1.1,0.319554
1,0.262626,0.9,0.346765
1,0.262626,1,0.333614
1,0.262626,1.1,0.317006
1,0.272727,0.9,0.341698
1,0.272727,1,0.331618
1,0.272727,1.1,0.317459
1,0.282828,0.9,0.343182
1,0.282828,1,0.3306
1,0.282828,1.1,0.313546
1,0.292929,0.9,0.341983
1,0.292929,1,0.327732
1,0.292929,1.1,0.312085
1,0.30303,0.9,0.342104
1,0.30303,1,0.330805
1,0.30303,1.1,0.31642
1,0.313131,0.9,0.339839
1,0.313131,1,0.328138
1,0.313131,1.1,0.312146
1,0.323232,0.9,0.335816
1,0.323232,1,0.330657
1,0.323232,1.1,0.311911
1,0.333333,0.9,0.331564
1,0.333333,1,0.327562
1,0.333333,1.1,0.31238
1,0.343434,0.9,0.330357
1,0.343434,1,0.327346
1,0.343434,1.1,0.308781
1,0.353535,0.9,0.334775
1,0.353535,1,0.321829
1,0.353535,1.1,0.306932
1,0.363636,0.9,0.333608
1,0.363636,1,0.318356
1,0.363636,1.1,0.306838
1,0.373737,0.9,0.336328
1,0.373737,1,0.322675
1,0.373737,1.1,0.306901
1,0.383838,0.9,0.335853
1,0.383838,1,0.315197
1,0.383838,1.1,0.305684
1,0.393939,0.9,0.337719
1,0.393939,1,0.314504
1,0.393939,1.1,0.305747
1,0.40404,0.9,0.337661
1,0.40404,1,0.317263
1,0.40404,1.1,0.299481
1,0.414141,0.9,0.33845
1,0.414141,1,0.317848
1,0.414141,1.1,0.303821
1,0.424242,0.9,0.337615
1,0.424242,1,0.313157
1,0.424242,1.1,0.2949
1,0.434343,0.9,0.339474
1,0.434343,1,0.318085
1,0.434343,1.1,0.293575
1,0.444444,0.9,0.341515
1,0.444444,1,0.319267
1,0.444444,1.1,0.293822
1,0.454545,0.9,0.339763
1,0.454545,1,0.32098
1,0.454545,1.1,0.289669
