omega,gamma,theta_1,firm,profit
0,0.666667,1,1,0.125023
0,0.666667,1,2,0.110371
0,0.666667,1.1,1,0.106783
0,0.666667,1.1,2,0.0934134
0,0.676768,0.9,1,0.14493
0,0.676768,0.9,2,0.125989
0,0.676768,1,1,0.124693
0,0.676768,1,2,0.110255
0,0.676768,1.1,1,0.107285
0,0.676768,1.1,2,0.0922604
0,0.686869,0.9,1,0.145909
0,0.686869,0.9,2,0.125132
0,0.686869,1,1,0.125141
0,0.686869,1,2,0.109851
0,0.686869,1.1,1,0.105853
0,0.686869,1.1,2,0.0910906
0,0.69697,0.9,1,0.147641
0,0.69697,0.9,2,0.125185
0,0.69697,1,1,0.126169
0,0.69697,1,2,0.10916
0,0.69697,1.1,1,0.10475
0,0.69697,1.1,2,0.0913933
0,0.707071,0.9,1,0.146923
0,0.707071,0.9,2,0.124468
0,0.707071,1,1,0.126067
0,0.707071,1,2,0.108625
0,0.707071,1.1,1,0.103312
0,0.707071,1.1,2,0.0913399
0,0.717172,0.9,1,0.145955
0,0.717172,0.9,2,0.122971
0,0.717172,1,1,0.125604
0,0.717172,1,2,0.108607
0,0.717172,1.1,1,0.105015
0,0.717172,1.1,2,0.0896116
0,0.727273,0.9,1,0.147208
0,0.727273,0.9,2,0.122675
0,0.727273,1,1,0.126802
0,0.727273,1,2,0.106496
0,0.727273,1.1,1,0.104872
0,0.727273,1.1,2,0.0888076
0,0.737374,0.9,1,0.148618
0,0.737374,0.9,2,0.120896
0,0.737374,1,1,0.126276
0,0.737374,1,2,0.106636
0,0.737374,1.1,1,0.104338
0,0.737374,1.1,2,0.0883067
0,0.747475,0.9,1,0.146738
0,0.747475,0.9,2,0.122862
0,0.747475,1,1,0.126042
0,0.747475,1,2,0.105037
0,0.747475,1.1,1,0.1043
0,0.747475,1.1,2,0.0868256
0,0.757576,0.9,1,0.150901
0,0.757576,0.9,2,0.119079
0,0.757576,1,1,0.12573
0,0.757576,1,2,0.106053
0,0.757576,1.1,1,0.1038
0,0.757576,1.1,2,0.0865948
0,0.767677,0.9,1,0.148648
0,0.767677,0.9,2,0.120231
0,0.767677,1,1,0.126453
0,0.767677,1,2,0.105494
0,0.767677,1.1,1,0.103663
0,0.767677,1.1,2,0.0859927
0,0.777778,0.9,1,0.147751
0,0.777778,0.9,2,0.11971
0,0.777778,1,1,0.12648
0,0.777778,1,2,0.103694
0,0.777778,1.1,1,0.10365
0,0.777778,1.1,2,0.0843168
0,0.787879,0.9,1,0.149027
0,0.787879,0.9,2,0.11896
0,0.787879,1,1,0.12812
0,0.787879,1,2,0.101991
0,0.787879,1.1,1,0.103128
0,0.787879,1.1,2,0.0847286
0,0.79798,0.9,1,0.149362
0,0.79798,0.9,2,0.117186
0,0.79798,1,1,0.127205
0,0.79798,1,2,0.101771
0,0.79798,1.1,1,0.10321
0,0.79798,1.1,2,0.0836251
0,0.808081,0.9,1,0.151629
0,0.808081,0.9,2,0.115152
0,0.808081,1,1,0.127487
0,0.808081,1,2,0.10036
0,0.808081,1.1,1,0.104368
0,0.808081,1.1,2,0.0818524
0,0.818182,0.9,1,0.151165
0,0.818182,0.9,2,0.114918
0,0.818182,1,1,0.127931
0,0.818182,1,2,0.10021
0,0.818182,1.1,1,0.103749
0,0.818182,1.1,2,0.0808804
0,0.828283,0.9,1,0.151628
0,0.828283,0.9,2,0.112166
0,0.828283,1,1,0.127935
0,0.828283,1,2,0.100259
0,0.828283,1.1,1,0.102682
0,0.828283,1.1,2,0.0798275
0,0.838384,0.9,1,0.149381
0,0.838384,0.9,2,0.115975
0,0.838384,1,1,0.126478
0,0.838384,1,2,0.0990234
0,0.838384,1.1,1,0.102159
0,0.838384,1.1,2,0.0803795
0,0.848485,0.9,1,0.150254
0,0.848485,0.9,2,0.115226
0,0.848485,1,1,0.127195
0,0.848485,1,2,0.0968992
0,0.848485,1.1,1,0.102759
0,0.848485,1.1,2,0.0786758
0,0.858586,0.9,1,0.149226
0,0.858586,0.9,2,0.114865
0,0.858586,1,1,0.127852
0,0.858586,1,2,0.0972823
0,0.858586,1.1,1,0.10171
0,0.858586,1.1,2,0.0783053
0,0.868687,0.9,1,0.150201
0,0.868687,0.9,2,0.112923
0,0.868687,1,1,0.12693
0,0.868687,1,2,0.0961379
0,0.868687,1.1,1,0.101433
0,0.868687,1.1,2,0.0767942
0,0.878788,0.9,1,0.150993
0,0.878788,0.9,2,0.111355
0,0.878788,1,1,0.126589
0,0.878788,1,2,0.0952754
0,0.878788,1.1,1,0.102644
0,0.878788,1.1,2,0.074062
0,0.888889,0.9,1,0.149247
0,0.888889,0.9,2,0.112446
0,0.888889,1,1,0.126486
0,0.888889,1,2,0.0946519
0,0.888889,1.1,1,0.0992805
0,0.888889,1.1,2,0.0765969
0,0.89899,0.9,1,0.153542
0,0.89899,0.9,2,0.108163
0,0.89899,1,1,0.125555
0,0.89899,1,2,0.0951261
0,0.89899,1.1,1,0.101275
0,0.89899,1.1,2,0.073847
0,0.909091,0.9,1,0.152594
0,0.909091,0.9,2,0.109529
0,0.909091,1,1,0.126332
0,0.909091,1,2,0.0924262
0,0.909091,1.1,1,0.100016
0,0.909091,1.1,2,0.0728987
0,0.919192,0.9,1,0.152957
0,0.919192,0.9,2,0.109058
0,0.919192,1,1,0.124469
0,0.919192,1,2,0.0934307
0,0.919192,1.1,1,0.10011
0,0.919192,1.1,2,0.0725878
0,0.929293,0.9,1,0.154819
0,0.929293,0.9,2,0.105249
0,0.929293,1,1,0.12544
