omega,gamma,theta_1,t
0,0.878788,1,1.47763e+06
0,0.878788,1.1,1.33052e+06
0,0.888889,0.9,1.80431e+06
0,0.888889,1,1.50128e+06
0,0.888889,1.1,1.33047e+06
0,0.89899,0.9,1.77668e+06
0,0.89899,1,1.48748e+06
0,0.89899,1.1,1.31193e+06
0,0.909091,0.9,1.825e+06
0,0.909091,1,1.51255e+06
0,0.909091,1.1,1.33063e+06
0,0.919192,0.9,1.8173e+06
0,0.919192,1,1.49972e+06
0,0.919192,1.1,1.35442e+06
0,0.929293,0.9,1.87496e+06
0,0.929293,1,1.506e+06
0,0.929293,1.1,1.32724e+06
0,0.939394,0.9,1.85682e+06
0,0.939394,1,1.5021e+06
0,0.939394,1.1,1.35173e+06
0,0.949495,0.9,1.88004e+06
0,0.949495,1,1.51842e+06
0,0.949495,1.1,1.35527e+06
0,0.959596,0.9,1.87736e+06
0,0.959596,1,1.57694e+06
0,0.959596,1.1,1.35704e+06
0,0.969697,0.9,1.88052e+06
0,0.969697,1,1.52498e+06
0,0.969697,1.1,1.38933e+06
0,0.979798,0.9,1.87365e+06
0,0.979798,1,1.54313e+06
0,0.979798,1.1,1.38071e+06
0,0.989899,0.9,1.92101e+06
0,0.989899,1,1.57632e+06
0,0.989899,1.1,1.38505e+06
0,1,0.9,1.94433e+06
0,1,1,1.54521e+06
0,1,1.1,1.39271e+06
0.8,0,0.9,1.77793e+06
0.8,0,1,1.87263e+06
0.8,0,1.1,1.8522e+06
0.8,0.010101,0.9,1.81887e+06
0.8,0.010101,1,1.7794e+06
0.8,0.010101,1.1,1.77891e+06
0.8,0.020202,0.9,1.7852e+06
0.8,0.020202,1,1.79536e+06
0.8,0.020202,1.1,1.77512e+06
0.8,0.030303,0.9,1.85241e+06
0.8,0.030303,1,1.74482e+06
0.8,0.030303,1.1,1.88288e+06
0.8,0.040404,0.9,1.75258e+06
0.8,0.040404,1,1.76552e+06
0.8,0.040404,1.1,1.77799e+06
0.8,0.0505051,0.9,1.78244e+06
0.8,0.0505051,1,1.76748e+06
0.8,0.0505051,1.1,1.72429e+06
0.8,0.0606061,0.9,1.72914e+06
0.8,0.0606061,1,1.81049e+06
0.8,0.0606061,1.1,1.76002e+06
0.8,0.0707071,0.9,1.74362e+06
0.8,0.0707071,1,1.7214e+06
0.8,0.0707071,1.1,1.70439e+06
0.8,0.0808081,0.9,1.74479e+06
0.8,0.0808081,1,1.77237e+06
0.8,0.0808081,1.1,1.71192e+06
0.8,0.0909091,0.9,1.7965e+06
0.8,0.0909091,1,1.68673e+06
0.8,0.0909091,1.1,1.67263e+06
0.8,0.10101,0.9,1.7268e+06
0.8,0.10101,1,1.70181e+06
0.8,0.10101,1.1,1.70808e+06
0.8,0.111111,0.9,1.75729e+06
0.8,0.111111,1,1.75291e+06
0.8,0.111111,1.1,1.6383e+06
0.8,0.121212,0.9,1.76328e+06
0.8,0.121212,1,1.69242e+06
0.8,0.121212,1.1,1.63273e+06
0.8,0.131313,0.9,1.76272e+06
0.8,0.131313,1,1.71198e+06
0.8,0.131313,1.1,1.63542e+06
0.8,0.141414,0.9,1.67814e+06
0.8,0.141414,1,1.61278e+06
0.8,0.141414,1.1,1.57157e+06
0.8,0.151515,0.9,1.70163e+06
0.8,0.151515,1,1.65106e+06
0.8,0.151515,1.1,1.6009e+06
0.8,0.161616,0.9,1.75237e+06
0.8,0.161616,1,1.66506e+06
0.8,0.161616,1.1,1.60699e+06
0.8,0.171717,0.9,1.62746e+06
0.8,0.171717,1,1.66063e+06
0.8,0.171717,1.1,1.57925e+06
0.8,0.181818,0.9,1.65516e+06
0.8,0.181818,1,1.5485e+06
0.8,0.181818,1.1,1.54479e+06
0.8,0.191919,0.9,1.63632e+06
0.8,0.191919,1,1.66382e+06
0.8,0.191919,1.1,1.60828e+06
0.8,0.20202,0.9,1.70144e+06
0.8,0.20202,1,1.55161e+06
0.8,0.20202,1.1,1.5236e+06
0.8,0.212121,0.9,1.65682e+06
0.8,0.212121,1,1.52974e+06
0.8,0.212121,1.1,1.50601e+06
0.8,0.222222,0.9,1.58456e+06
0.8,0.222222,1,1.59233e+06
0.8,0.222222,1.1,1.53447e+06
0.8,0.232323,0.9,1.62859e+06
0.8,0.232323,1,1.51847e+06
0.8,0.232323,1.1,1.52798e+06
0.8,0.242424,0.9,1.60777e+06
0.8,0.242424,1,1.6109e+06
0.8,0.242424,1.1,1.46599e+06
0.8,0.252525,0.9,1.5983e+06
0.8,0.252525,1,1.59919e+06
0.8,0.252525,1.1,1.49132e+06
0.8,0.262626,0.9,1.66293e+06
0.8,0.262626,1,1.50998e+06
0.8,0.262626,1.1,1.46615e+06
0.8,0.272727,0.9,1.63716e+06
0.8,0.272727,1,1.60343e+06
0.8,0.272727,1.1,1.44185e+06
0.8,0.282828,0.9,1.60577e+06
0.8,0.282828,1,1.50825e+06
0.8,0.282828,1.1,1.47272e+06
0.8,0.292929,0.9,1.57308e+06
0.8,0.292929,1,1.51332e+06
0.8,0.292929,1.1,1.51813e+06
0.8,0.30303,0.9,1.59618e+06
0.8,0.30303,1,1.55214e+06
0.8,0.30303,1.1,1.47808e+06
0.8,0.313131,0.9,1.5525e+06
0.8,0.313131,1,1.50668e+06
0.8,0.313131,1.1,1.43194e+06
0.8,0.323232,0.9,1.47963e+06
0.8,0.323232,1,1.4722e+06
0.8,0.323232,1.1,1.50952e+06
0.8,0.333333,0.9,1.44811e+06
0.8,0.333333,1,1.52075e+06
0.8,0.333333,1.1,1.45173e+06
0.8,0.343434,0.9,1.42032e+06
0.8,0.343434,1,1.49075e+06
0.8,0.343434,1.1,1.40548e+06
0.8,0.353535,0.9,1.41828e+06
0.8,0.353535,1,1.50549e+06
0.8,0.353535,1.1,1.40518e+06
0.8,0.363636,0.9,1.3522e+06
0.8,0.363636,1,1.47914e+06
0.8,0.363636,1.1,1.41671e+06
0.8,0.373737,0.9,1.33662e+06
0.8,0.373737,1,1.45515e+06
0.8,0.373737,1.1,1.40777e+06
0.8,0.383838,0.9,1.37201e+06
0.8,0.383838,1,1.45232e+06
