omega,gamma,theta_1,firm,price
0,0.646465,0.9,2,1.69549
0,0.646465,1,1,1.67227
0,0.646465,1,2,1.68881
0,0.646465,1.1,1,1.61753
0,0.646465,1.1,2,1.68072
0,0.656566,0.9,1,1.72093
0,0.656566,0.9,2,1.69748
0,0.656566,1,1,1.69404
0,0.656566,1,2,1.6751
0,0.656566,1.1,1,1.6207
0,0.656566,1.1,2,1.6901
0,0.666667,0.9,1,1.73049
0,0.666667,0.9,2,1.70166
0,0.666667,1,1,1.68067
0,0.666667,1,2,1.69118
0,0.666667,1.1,1,1.62092
0,0.666667,1.1,2,1.69583
0,0.676768,0.9,1,1.71844
0,0.676768,0.9,2,1.6888
0,0.676768,1,1,1.6897
0,0.676768,1,2,1.68161
0,0.676768,1.1,1,1.63239
0,0.676768,1.1,2,1.66268
0,0.686869,0.9,1,1.71494
0,0.686869,0.9,2,1.69163
0,0.686869,1,1,1.68258
0,0.686869,1,2,1.67676
0,0.686869,1.1,1,1.6326
0,0.686869,1.1,2,1.68303
0,0.69697,0.9,1,1.72538
0,0.69697,0.9,2,1.69348
0,0.69697,1,1,1.68751
0,0.69697,1,2,1.69132
0,0.69697,1.1,1,1.64016
0,0.69697,1.1,2,1.66398
0,0.707071,0.9,1,1.73112
0,0.707071,0.9,2,1.6841
0,0.707071,1,1,1.69367
0,0.707071,1,2,1.67899
0,0.707071,1.1,1,1.63862
0,0.707071,1.1,2,1.65542
0,0.717172,0.9,1,1.71254
0,0.717172,0.9,2,1.68862
0,0.717172,1,1,1.6808
0,0.717172,1,2,1.68274
0,0.717172,1.1,1,1.64227
0,0.717172,1.1,2,1.66098
0,0.727273,0.9,1,1.71455
0,0.727273,0.9,2,1.67341
0,0.727273,1,1,1.67848
0,0.727273,1,2,1.67745
0,0.727273,1.1,1,1.64789
0,0.727273,1.1,2,1.65276
0,0.737374,0.9,1,1.70547
0,0.737374,0.9,2,1.69116
0,0.737374,1,1,1.67691
0,0.737374,1,2,1.66823
0,0.737374,1.1,1,1.64014
0,0.737374,1.1,2,1.63841
0,0.747475,0.9,1,1.71071
0,0.747475,0.9,2,1.6891
0,0.747475,1,1,1.67903
0,0.747475,1,2,1.68722
0,0.747475,1.1,1,1.64443
0,0.747475,1.1,2,1.63983
0,0.757576,0.9,1,1.72555
0,0.757576,0.9,2,1.6953
0,0.757576,1,1,1.68867
0,0.757576,1,2,1.68001
0,0.757576,1.1,1,1.64352
0,0.757576,1.1,2,1.64882
0,0.767677,0.9,1,1.71127
0,0.767677,0.9,2,1.68788
0,0.767677,1,1,1.67448
0,0.767677,1,2,1.68228
0,0.767677,1.1,1,1.63674
0,0.767677,1.1,2,1.65353
0,0.777778,0.9,1,1.70152
0,0.777778,0.9,2,1.68559
0,0.777778,1,1,1.66951
0,0.777778,1,2,1.68414
0,0.777778,1.1,1,1.63472
0,0.777778,1.1,2,1.64849
0,0.787879,0.9,1,1.70638
0,0.787879,0.9,2,1.69437
0,0.787879,1,1,1.67582
0,0.787879,1,2,1.68167
0,0.787879,1.1,1,1.62638
0,0.787879,1.1,2,1.64548
0,0.79798,0.9,1,1.70039
0,0.79798,0.9,2,1.69481
0,0.79798,1,1,1.68177
0,0.79798,1,2,1.66925
0,0.79798,1.1,1,1.6354
0,0.79798,1.1,2,1.64994
