omega,alpha,beta,firm,profit
0,0.0527027,7.16216e-06,2,0.131901
0,0.0527027,7.2973e-06,1,0.131501
0,0.0527027,7.2973e-06,2,0.131325
0,0.0527027,7.43243e-06,1,0.131203
0,0.0527027,7.43243e-06,2,0.130789
0,0.0527027,7.56757e-06,1,0.131865
0,0.0527027,7.56757e-06,2,0.131789
0,0.0527027,7.7027e-06,1,0.129843
0,0.0527027,7.7027e-06,2,0.130613
0,0.0527027,7.83784e-06,1,0.131735
0,0.0527027,7.83784e-06,2,0.131528
0,0.0527027,7.97297e-06,1,0.131826
0,0.0527027,7.97297e-06,2,0.131656
0,0.0527027,8.10811e-06,1,0.130824
0,0.0527027,8.10811e-06,2,0.131539
0,0.0527027,8.24324e-06,1,0.132205
0,0.0527027,8.24324e-06,2,0.131696
0,0.0527027,8.37838e-06,1,0.13053
0,0.0527027,8.37838e-06,2,0.13056
0,0.0527027,8.51351e-06,1,0.13138
0,0.0527027,8.51351e-06,2,0.131496
0,0.0527027,8.64865e-06,1,0.131543
0,0.0527027,8.64865e-06,2,0.131658
0,0.0527027,8.78378e-06,1,0.131766
0,0.0527027,8.78378e-06,2,0.131891
0,0.0527027,8.91892e-06,1,0.130965
0,0.0527027,8.91892e-06,2,0.132318
0,0.0527027,9.05405e-06,1,0.131653
0,0.0527027,9.05405e-06,2,0.132128
0,0.0527027,9.18919e-06,1,0.131549
0,0.0527027,9.18919e-06,2,0.13219
0,0.0527027,9.32432e-06,1,0.132501
0,0.0527027,9.32432e-06,2,0.131545
0,0.0527027,9.45946e-06,1,0.131952
0,0.0527027,9.45946e-06,2,0.132704
0,0.0527027,9.59459e-06,1,0.131473
0,0.0527027,9.59459e-06,2,0.131626
0,0.0527027,9.72973e-06,1,0.133234
0,0.0527027,9.72973e-06,2,0.132306
0,0.0527027,9.86486e-06,1,0.13271
0,0.0527027,9.86486e-06,2,0.133046
0,0.0527027,1e-05,1,0.132065
0,0.0527027,1e-05,2,0.132796
0,0.0527027,1.01351e-05,1,0.13279
0,0.0527027,1.01351e-05,2,0.133116
0,0.0527027,1.02703e-05,1,0.132044
0,0.0527027,1.02703e-05,2,0.132987
0,0.0527027,1.04054e-05,1,0.131695
0,0.0527027,1.04054e-05,2,0.132293
0,0.0527027,1.05405e-05,1,0.133153
0,0.0527027,1.05405e-05,2,0.132257
0,0.0527027,1.06757e-05,1,0.132431
0,0.0527027,1.06757e-05,2,0.133127
0,0.0527027,1.08108e-05,1,0.131808
0,0.0527027,1.08108e-05,2,0.131966
0,0.0527027,1.09459e-05,1,0.132925
0,0.0527027,1.09459e-05,2,0.132157
0,0.0527027,1.10811e-05,1,0.132333
0,0.0527027,1.10811e-05,2,0.1322
0,0.0527027,1.12162e-05,1,0.133272
0,0.0527027,1.12162e-05,2,0.133414
0,0.0527027,1.13514e-05,1,0.131824
0,0.0527027,1.13514e-05,2,0.132912
0,0.0527027,1.14865e-05,1,0.131538
0,0.0527027,1.14865e-05,2,0.13239
0,0.0527027,1.16216e-05,1,0.133258
0,0.0527027,1.16216e-05,2,0.132644
0,0.0527027,1.17568e-05,1,0.133045
0,0.0527027,1.17568e-05,2,0.132889
0,0.0527027,1.18919e-05,1,0.132604
0,0.0527027,1.18919e-05,2,0.133646
0,0.0527027,1.2027e-05,1,0.133404
0,0.0527027,1.2027e-05,2,0.132576
0,0.0527027,1.21622e-05,1,0.13304
0,0.0527027,1.21622e-05,2,0.132561
0,0.0527027,1.22973e-05,1,0.13329
0,0.0527027,1.22973e-05,2,0.131741
0,0.0527027,1.24324e-05,1,0.133086
0,0.0527027,1.24324e-05,2,0.132686
0,0.0527027,1.25676e-05,1,0.133078
0,0.0527027,1.25676e-05,2,0.13293
0,0.0527027,1.27027e-05,1,0.13327
0,0.0527027,1.27027e-05,2,0.133303
0,0.0527027,1.28378e-05,1,0.134233
0,0.0527027,1.28378e-05,2,0.133184
0,0.0527027,1.2973e-05,1,0.133005
0,0.0527027,1.2973e-05,2,0.133132
0,0.0527027,1.31081e-05,1,0.134583
0,0.0527027,1.31081e-05,2,0.133776
0,0.0527027,1.32432e-05,1,0.132843
0,0.0527027,1.32432e-05,2,0.13391
0,0.0527027,1.33784e-05,1,0.132337
0,0.0527027,1.33784e-05,2,0.133242
0,0.0527027,1.35135e-05,1,0.132271
0,0.0527027,1.35135e-05,2,0.13285
0,0.0527027,1.36486e-05,1,0.133778
0,0.0527027,1.36486e-05,2,0.133737
0,0.0527027,1.37838e-05,1,0.132243
0,0.0527027,1.37838e-05,2,0.133342
0,0.0527027,1.39189e-05,1,0.133708
0,0.0527027,1.39189e-05,2,0.133892
0,0.0527027,1.40541e-05,1,0.133897
0,0.0527027,1.40541e-05,2,0.133977
0,0.0527027,1.41892e-05,1,0.133587
0,0.0527027,1.41892e-05,2,0.134271
0,0.0527027,1.43243e-05,1,0.133197
0,0.0527027,1.43243e-05,2,0.132933
0,0.0527027,1.44595e-05,1,0.133841
0,0.0527027,1.44595e-05,2,0.134166
0,0.0527027,1.45946e-05,1,0.132302
0,0.0527027,1.45946e-05,2,0.133881
0,0.0527027,1.47297e-05,1,0.133537
0,0.0527027,1.47297e-05,2,0.133118
0,0.0527027,1.48649e-05,1,0.133339
0,0.0527027,1.48649e-05,2,0.133536
0,0.0527027,1.5e-05,1,0.132606
0,0.0527027,1.5e-05,2,0.133716
0,0.0554054,5e-06,1,0.128579
0,0.0554054,5e-06,2,0.128939
0,0.0554054,5.13514e-06,1,0.129258
0,0.0554054,5.13514e-06,2,0.128887
0,0.0554054,5.27027e-06,1,0.129398
0,0.0554054,5.27027e-06,2,0.129211
0,0.0554054,5.40541e-06,1,0.129193
0,0.0554054,5.40541e-06,2,0.129238
0,0.0554054,5.54054e-06,1,0.128714
0,0.0554054,5.54054e-06,2,0.129884
0,0.0554054,5.67568e-06,1,0.129155
0,0.0554054,5.67568e-06,2,0.129816
0,0.0554054,5.81081e-06,1,0.129629
0,0.0554054,5.81081e-06,2,0.129657
0,0.0554054,5.94595e-06,1,0.129314
0,0.0554054,5.94595e-06,2,0.129728
0,0.0554054,6.08108e-06,1,0.129697
0,0.0554054,6.08108e-06,2,0.129133
0,0.0554054,6.21622e-06,1,0.129809
0,0.0554054,6.21622e-06,2,0.129336
0,0.0554054,6.35135e-06,1,0.129476
0,0.0554054,6.35135e-06,2,0.128506
0,0.0554054,6.48649e-06,1,0.130002
0,0.0554054,6.48649e-06,2,0.130262
0,0.0554054,6.62162e-06,1,0.130449
0,0.0554054,6.62162e-06,2,0.128795
0,0.0554054,6.75676e-06,1,0.129816
0,0.0554054,6.75676e-06,2,0.129854
0,0.0554054,6.89189e-06,1,0.12992
0,0.0554054,6.89189e-06,2,0.130841
0,0.0554054,7.02703e-06,1,0.13015
0,0.0554054,7.02703e-06,2,0.130715
0,0.0554054,7.16216e-06,1,0.132271
0,0.0554054,7.16216e-06,2,0.129491
0,0.0554054,7.2973e-06,1,0.130818
0,0.0554054,7.2973e-06,2,0.129489
0,0.0554054,7.43243e-06,1,0.130796
0,0.0554054,7.43243e-06,2,0.130343
0,0.0554054,7.56757e-06,1,0.13012
0,0.0554054,7.56757e-06,2,0.129834
0,0.0554054,7.7027e-06,1,0.130466
0,0.0554054,7.7027e-06,2,0.130903
0,0.0554054,7.83784e-06,1,0.132243
0,0.0554054,7.83784e-06,2,0.130105
0,0.0554054,7.97297e-06,1,0.130761
0,0.0554054,7.97297e-06,2,0.132422
0,0.0554054,8.10811e-06,1,0.130405
0,0.0554054,8.10811e-06,2,0.131128
0,0.0554054,8.24324e-06,1,0.132233
0,0.0554054,8.24324e-06,2,0.130758
0,0.0554054,8.37838e-06,1,0.13087
0,0.0554054,8.37838e-06,2,0.131788
0,0.0554054,8.51351e-06,1,0.131429
0,0.0554054,8.51351e-06,2,0.131761
0,0.0554054,8.64865e-06,1,0.131524
0,0.0554054,8.64865e-06,2,0.130403
0,0.0554054,8.78378e-06,1,0.130862
0,0.0554054,8.78378e-06,2,0.131349
0,0.0554054,8.91892e-06,1,0.131293
0,0.0554054,8.91892e-06,2,0.130966
0,0.0554054,9.05405e-06,1,0.130786
0,0.0554054,9.05405e-06,2,0.130612
0,0.0554054,9.18919e-06,1,0.132652
0,0.0554054,9.18919e-06,2,0.131638
0,0.0554054,9.32432e-06,1,0.132234
0,0.0554054,9.32432e-06,2,0.131977
0,0.0554054,9.45946e-06,1,0.131001
0,0.0554054,9.45946e-06,2,0.131731
0,0.0554054,9.59459e-06,1,0.132486
0,0.0554054,9.59459e-06,2,0.131272
0,0.0554054,9.72973e-06,1,0.131857
0,0.0554054,9.72973e-06,2,0.132607
0,0.0554054,9.86486e-06,1,0.132596
0,0.0554054,9.86486e-06,2,0.131665
0,0.0554054,1e-05,1,0.132536
0,0.0554054,1e-05,2,0.131776
0,0.0554054,1.01351e-05,1,0.131992
0,0.0554054,1.01351e-05,2,0.132191
0,0.0554054,1.02703e-05,1,0.132292
0,0.0554054,1.02703e-05,2,0.13236
0,0.0554054,1.04054e-05,1,0.133391
0,0.0554054,1.04054e-05,2,0.132718
0,0.0554054,1.05405e-05,1,0.131265
0,0.0554054,1.05405e-05,2,0.132038
0,0.0554054,1.06757e-05,1,0.131926
0,0.0554054,1.06757e-05,2,0.130669
0,0.0554054,1.08108e-05,1,0.131545
0,0.0554054,1.08108e-05,2,0.131994
0,0.0554054,1.09459e-05,1,0.132221
0,0.0554054,1.09459e-05,2,0.132199
0,0.0554054,1.10811e-05,1,0.13249
0,0.0554054,1.10811e-05,2,0.134001
0,0.0554054,1.12162e-05,1,0.132765
0,0.0554054,1.12162e-05,2,0.131826
0,0.0554054,1.13514e-05,1,0.13364
0,0.0554054,1.13514e-05,2,0.132819
0,0.0554054,1.14865e-05,1,0.132814
0,0.0554054,1.14865e-05,2,0.132753
0,0.0554054,1.16216e-05,1,0.1332
0,0.0554054,1.16216e-05,2,0.132688
0,0.0554054,1.17568e-05,1,0.132226
0,0.0554054,1.17568e-05,2,0.132428
0,0.0554054,1.18919e-05,1,0.133073
0,0.0554054,1.18919e-05,2,0.132958
0,0.0554054,1.2027e-05,1,0.132814
0,0.0554054,1.2027e-05,2,0.131997
0,0.0554054,1.21622e-05,1,0.13331
0,0.0554054,1.21622e-05,2,0.132689
0,0.0554054,1.22973e-05,1,0.132602
0,0.0554054,1.22973e-05,2,0.132731
0,0.0554054,1.24324e-05,1,0.132212
0,0.0554054,1.24324e-05,2,0.133137
0,0.0554054,1.25676e-05,1,0.132797
0,0.0554054,1.25676e-05,2,0.133236
0,0.0554054,1.27027e-05,1,0.132864
0,0.0554054,1.27027e-05,2,0.13385
0,0.0554054,1.28378e-05,1,0.132668
0,0.0554054,1.28378e-05,2,0.13241
0,0.0554054,1.2973e-05,1,0.132607
0,0.0554054,1.2973e-05,2,0.132262
0,0.0554054,1.31081e-05,1,0.133093
0,0.0554054,1.31081e-05,2,0.132928
0,0.0554054,1.32432e-05,1,0.133169
0,0.0554054,1.32432e-05,2,0.132968
0,0.0554054,1.33784e-05,1,0.133035
0,0.0554054,1.33784e-05,2,0.132841
0,0.0554054,1.35135e-05,1,0.133101
0,0.0554054,1.35135e-05,2,0.13273
0,0.0554054,1.36486e-05,1,0.133209
0,0.0554054,1.36486e-05,2,0.133403
0,0.0554054,1.37838e-05,1,0.133293
0,0.0554054,1.37838e-05,2,0.133784
0,0.0554054,1.39189e-05,1,0.133204
0,0.0554054,1.39189e-05,2,0.133026
0,0.0554054,1.40541e-05,1,0.132237
0,0.0554054,1.40541e-05,2,0.132807
0,0.0554054,1.41892e-05,1,0.133423
0,0.0554054,1.41892e-05,2,0.134056
0,0.0554054,1.43243e-05,1,0.133605
0,0.0554054,1.43243e-05,2,0.133431
0,0.0554054,1.44595e-05,1,0.133275
0,0.0554054,1.44595e-05,2,0.132701
0,0.0554054,1.45946e-05,1,0.132609
0,0.0554054,1.45946e-05,2,0.132954
0,0.0554054,1.47297e-05,1,0.133865
0,0.0554054,1.47297e-05,2,0.133678
0,0.0554054,1.48649e-05,1,0.132898
0,0.0554054,1.48649e-05,2,0.132818
0,0.0554054,1.5e-05,1,0.132985
0,0.0554054,1.5e-05,2,0.132657
0,0.0581081,5e-06,1,0.128342
0,0.0581081,5e-06,2,0.129103
0,0.0581081,5.13514e-06,1,0.128114
0,0.0581081,5.13514e-06,2,0.128367
0,0.0581081,5.27027e-06,1,0.127926
0,0.0581081,5.27027e-06,2,0.128552
0,0.0581081,5.40541e-06,1,0.128511
0,0.0581081,5.40541e-06,2,0.129568
0,0.0581081,5.54054e-06,1,0.127693
0,0.0581081,5.54054e-06,2,0.128646
0,0.0581081,5.67568e-06,1,0.128973
0,0.0581081,5.67568e-06,2,0.128284
0,0.0581081,5.81081e-06,1,0.12927
0,0.0581081,5.81081e-06,2,0.129768
0,0.0581081,5.94595e-06,1,0.129376
