omega,alpha,beta,t
0,0.0689189,1.18919e-05,953869
0,0.0689189,1.2027e-05,949660
0,0.0689189,1.21622e-05,945134
0,0.0689189,1.22973e-05,949446
0,0.0689189,1.24324e-05,915694
0,0.0689189,1.25676e-05,925046
0,0.0689189,1.27027e-05,892462
0,0.0689189,1.28378e-05,902743
0,0.0689189,1.2973e-05,902342
0,0.0689189,1.31081e-05,894830
0,0.0689189,1.32432e-05,896618
0,0.0689189,1.33784e-05,846942
0,0.0689189,1.35135e-05,869345
0,0.0689189,1.36486e-05,872744
0,0.0689189,1.37838e-05,830054
0,0.0689189,1.39189e-05,860498
0,0.0689189,1.40541e-05,841209
0,0.0689189,1.41892e-05,802443
0,0.0689189,1.43243e-05,796150
0,0.0689189,1.44595e-05,819623
0,0.0689189,1.45946e-05,818876
0,0.0689189,1.47297e-05,799159
0,0.0689189,1.48649e-05,788147
0,0.0689189,1.5e-05,805360
0,0.0716216,5e-06,2.21468e+06
0,0.0716216,5.13514e-06,2.16271e+06
0,0.0716216,5.27027e-06,2.11236e+06
0,0.0716216,5.40541e-06,2.0994e+06
0,0.0716216,5.54054e-06,2.03074e+06
0,0.0716216,5.67568e-06,2.00768e+06
0,0.0716216,5.81081e-06,1.94658e+06
0,0.0716216,5.94595e-06,1.91116e+06
0,0.0716216,6.08108e-06,1.86527e+06
0,0.0716216,6.21622e-06,1.80732e+06
0,0.0716216,6.35135e-06,1.80289e+06
0,0.0716216,6.48649e-06,1.74522e+06
0,0.0716216,6.62162e-06,1.73398e+06
0,0.0716216,6.75676e-06,1.68255e+06
0,0.0716216,6.89189e-06,1.65377e+06
0,0.0716216,7.02703e-06,1.61797e+06
0,0.0716216,7.16216e-06,1.57688e+06
0,0.0716216,7.2973e-06,1.55923e+06
0,0.0716216,7.43243e-06,1.52674e+06
0,0.0716216,7.56757e-06,1.5205e+06
0,0.0716216,7.7027e-06,1.46306e+06
0,0.0716216,7.83784e-06,1.48135e+06
0,0.0716216,7.97297e-06,1.42228e+06
0,0.0716216,8.10811e-06,1.40916e+06
0,0.0716216,8.24324e-06,1.39492e+06
0,0.0716216,8.37838e-06,1.36669e+06
0,0.0716216,8.51351e-06,1.33364e+06
0,0.0716216,8.64865e-06,1.31399e+06
0,0.0716216,8.78378e-06,1.30218e+06
0,0.0716216,8.91892e-06,1.28712e+06
0,0.0716216,9.05405e-06,1.30081e+06
0,0.0716216,9.18919e-06,1.25542e+06
0,0.0716216,9.32432e-06,1.24636e+06
0,0.0716216,9.45946e-06,1.21611e+06
0,0.0716216,9.59459e-06,1.21715e+06
0,0.0716216,9.72973e-06,1.18213e+06
0,0.0716216,9.86486e-06,1.18252e+06
0,0.0716216,1e-05,1.16924e+06
0,0.0716216,1.01351e-05,1.14068e+06
0,0.0716216,1.02703e-05,1.10109e+06
